ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΚΤΥΠΗΣ ΔΙΟΝΥΣΙΟΣ του Δημητρίου,ΛΙΒΕΡΗ ΜΑΡΙΑ του Σταμάτη,ΠΕΤΤΑΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΣΥΡΙΖΑ,ΑΡΜΕΝΗΣ ΓΕΩΡΓΙΟΣ του Ηλία,ΜΑΡΟΥΔΑ ΑΝΑΣΤΑΣΙΑ του Διονυσίου,ΞΕΝΟΣ ΣΠΥΡΙΔΩΝ του Σκοπιώτη,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΘΕΟΔΟΣΗ - ΚΟΝΤΟΥ ΑΝΑΣΤΑΣΙΑ του Ιωάννη-Διονύσιου,ΚΟΝΤΟΝΗΣ ΧΑΡΑΛΑΜΠΟΣ-ΣΤΑΥΡΟΣ του Νικόλαου,ΜΠΟΤΩΝΗΣ ΔΙΟΝΥΣΙΟΣ του Αθανασίου,Κ.Κ.Ε.,ΑΡΒΑΝΙΤΑΚΗΣ ΔΙΟΝΥΣΙΟΣ του Κωνσταντίνου,ΚΑΡΑΚΩΣΤΑ ΠΑΡΑΣΚΕΥΗ (ΒΟΥΛΑ) του Σωτηρίου,ΚΩΝΣΤΑΝΤΙΝΟΥ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,Ελληνική Λύση - Κ. Βελόπουλος,ΜΟΥΖΑΚΗ ΠΑΝΑΓΙΩΤΑ του Διονυσίου,ΜΠΑΣΤΑΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΠΑΠΑΔΑΤΟΣ ΓΕΡΑΣΙΜΟΣ του Παναγή Διομήδη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΠΕΤΤΑΣ ΔΗΜΗΤΡΙΟΣ του Δημητρίου,ΡΟΥΜΕΛΙΩΤΟΥ ΛΑΜΠΡΙΝΗ του Αναστασίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΑΣΤΗ ΠΟΛΥΞΕΝΗ του Αντωνίου,ΠΑΡΑΣΧΗΣ ΚΟΡΩΝΙΟΣ ΝΙΚΟΛΑΟΣ του Σπυρίδωνα Χρυσοστόμου,Κ.Κ.Ε. (μ-λ),ΡΟΥΚΑΝΑ ΑΝΑΣΤΑΣΙΑ του Ιωάννη,Ο.Κ.Δ.Ε.,ΜΑΡΓΑΡΗΣ ΧΑΡΑΛΑΜΠΟΣ του Ηλία,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΛΑΧΑΝΙΩΤΗ ΑΝΤΩΝΙΑ (ΤΟΝΙΑ) του Δημητρίου,ΣΕΜΙΤΕΚΟΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (ΝΤΙΝΟΣ) του Κωνσταντίνου,ΧΑΪΚΑΛΗΣ ΣΠΥΡΙΔΩΝ του Παναγιώτη,Κίνημα 21,ΓΚΑΤΖΟΥΝΑ ΑΙΚΑΤΕΡΙΝΗ του Δημητρίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΛΑΓΟΔΗΜΟΣ ΑΡΓΥΡΙΟΣ του Διονυσίου,ΝΙΚΗ,ΛΙΒΕΡΗ ΑΛΕΞΑΝΔΡΑ του Διονυσίου,ΣΤΕΦΑΝΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,κοινωνία αξιών,ΦΑΡΑΟΣ ΔΗΜΗΤΡΙΟΣ του Χαραλάμπους,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΚΛΑΥΔΙΑΝΟΥ ΜΑΡΙΑ του Δημητρίου,Μ-Λ Κ.Κ.Ε.,ΤΣΟΥΚΑΛΑΣ ΧΡΗΣΤΟΣ του Ιωάννη,Ελλήνων Συνέλευσις,ΒΟΥΤΟΣ ΘΕΟΦΑΝΗΣ του Σπυρίδων,Ένωση Κεντρώων,ΤΥΡΟΓΑΛΑ ΜΑΡΙΝΑ του Καμίλου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΤΣΑΝΟΥ ΣΤΑΥΡΟΥΛΑ του Αθανάσιου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΓΙΑΤΡΑ ΔΙΟΝΥΣΙΑ του Πέτρου,ΜΑΡΟΥΔΑΣ ΠΑΝΑΓΙΩΤΗΣ - ΣΙΓΟΥΡΟΣ του Παύλου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΑΡΒΑΝΙΤΑΚΗΣ ΦΩΤΙΟΣ του Διονυσίου-Παναγιώτη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΒΟΓΙΑΤΖΗ ΧΡΥΣΟΥΛΑ του Ελευθερίου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΤΕΤΡΑΔΗΣ ΑΓΓΕΛΟΣ του Ιωάννη,ΕΑΝ...,ΚΛΕΙΔΕΡΗΣ ΓΕΩΡΓΙΟΣ του Διονυσίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΝΤΟΖΗΣ ΙΩΑΝΝΗΣ του Διονυσίου
29 - Ζακύνθου,17 E.T. Δήμου Ζακύνθου,434,251,8,2,10,241,75,51,2,21,27,5,2,17,32,16,11,1,72,11,5,44,2,0,0,1,2,0,1,2,1,1,0,0,4,0,0,0,0,0,1,0,1,0,3,2,1,2,1,0,0,1,0,1,1,2,1,0,0,5,1,1,0,0,0,0,1,0,0,0,8,4
29 - Ζακύνθου,18 E.T. Δήμου Ζακύνθου,445,278,5,3,8,270,109,78,3,24,53,9,9,21,25,9,12,1,50,9,3,25,6,4,2,0,3,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,6,4,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,4,1,6,3
29 - Ζακύνθου,19 E.T. Δήμου Ζακύνθου,416,248,4,4,8,240,100,73,12,10,60,3,10,3,25,4,18,2,30,3,0,15,2,1,0,0,4,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,3,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,3,2,0,0,0,0,1,0,1,1,3,3
29 - Ζακύνθου,20 E.T. Δήμου Ζακύνθου,425,258,9,2,11,247,117,86,10,17,46,11,8,22,14,6,5,2,34,7,7,11,6,0,2,1,3,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,4,3,6,5,1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,2,1,1,0,0,5,1
29 - Ζακύνθου,21 E.T. Δήμου Ζακύνθου,395,236,2,1,3,233,132,92,10,21,14,2,2,9,19,9,8,0,19,7,3,1,7,4,1,0,9,3,1,9,2,4,0,0,0,0,0,0,0,0,0,0,6,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,1,0,2,1,0,0,5,3
29 - Ζακύνθου,22 E.T. Δήμου Ζακύνθου,442,272,7,1,8,264,129,78,7,41,41,10,5,19,17,6,6,1,30,7,5,9,9,3,3,0,4,2,0,10,3,5,0,0,0,0,1,0,1,0,0,0,5,5,4,3,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,2,0,2,1,1,1,5,4
29 - Ζακύνθου,23 E.T. Δήμου Ζακύνθου,309,194,7,1,8,186,91,77,5,5,33,4,0,24,22,11,7,1,18,3,5,4,3,0,1,1,1,0,1,6,3,3,0,0,0,0,0,0,0,0,0,0,7,4,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
29 - Ζακύνθου,24 E.T. Δήμου Ζακύνθου,335,193,3,0,3,190,81,59,3,15,28,7,3,14,15,7,3,3,27,3,1,15,5,1,1,1,5,3,0,5,3,2,1,1,0,0,1,0,0,0,1,0,4,2,5,2,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,2,0,1,0,0,0,1,0,4,1
29 - Ζακύνθου,25 E.T. Δήμου Ζακύνθου,402,262,3,0,3,259,130,55,5,21,45,8,4,24,32,9,10,6,14,4,2,1,8,3,2,0,6,2,1,3,0,1,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,2,1,3,1,1,0,7,4
29 - Ζακύνθου,26 E.T. Δήμου Ζακύνθου,420,262,6,1,7,255,134,103,5,18,42,16,3,15,24,11,8,3,9,0,2,6,6,2,2,0,8,4,1,6,1,5,1,0,0,0,0,0,0,0,1,1,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,2,2,1,0,0,10,5
29 - Ζακύνθου,27 E.T. Δήμου Ζακύνθου,504,287,7,4,11,276,96,60,15,16,52,10,8,25,41,16,10,9,26,8,1,10,6,0,2,0,11,4,4,3,1,2,1,0,1,1,3,1,0,0,1,1,2,2,5,3,2,1,1,0,0,1,1,0,0,3,3,1,0,6,1,3,0,0,0,0,1,0,0,0,15,5
29 - Ζακύνθου,28 E.T. Δήμου Ζακύνθου,530,324,7,2,9,315,124,93,7,18,72,22,11,26,32,17,3,5,29,5,2,11,15,4,2,1,11,4,4,8,2,5,0,0,0,0,1,0,0,0,1,0,1,1,5,2,1,1,0,0,0,2,0,1,1,0,0,5,4,2,1,0,1,0,0,0,2,2,0,0,2,2
29 - Ζακύνθου,29 E.T. Δήμου Ζακύνθου,176,106,0,4,4,102,32,19,0,10,22,5,4,11,16,7,4,1,17,4,2,5,3,2,0,0,8,4,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
29 - Ζακύνθου,30 E.T. Δήμου Ζακύνθου,537,327,3,3,6,321,124,90,6,25,52,5,20,19,35,26,4,0,84,33,8,19,6,0,2,0,3,0,1,4,0,3,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4,1
29 - Ζακύνθου,31 E.T. Δήμου Ζακύνθου,311,196,4,1,5,191,54,44,2,6,40,6,6,21,36,21,5,10,31,9,5,10,4,2,2,0,2,2,0,11,6,5,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,3
29 - Ζακύνθου,32 E.T. Δήμου Ζακύνθου,427,219,10,0,10,209,77,58,5,12,53,4,6,38,27,12,4,4,37,16,6,7,0,0,0,0,4,3,0,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29 - Ζακύνθου,33 E.T. Δήμου Ζακύνθου,287,168,2,2,4,164,83,43,12,21,18,5,5,5,8,4,2,1,20,6,0,5,4,1,2,0,6,2,0,2,1,0,1,0,0,0,1,0,0,1,3,2,4,0,1,0,1,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,2
29 - Ζακύνθου,34 E.T. Δήμου Ζακύνθου,85,31,1,0,1,30,3,1,0,0,9,1,4,3,0,0,0,0,13,5,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29 - Ζακύνθου,35 E.T. Δήμου Ζακύνθου,310,179,3,0,3,176,89,86,1,0,42,8,25,7,7,3,2,1,22,7,4,3,1,0,1,0,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,1,1,0,0,0,0,3,3
29 - Ζακύνθου,36 E.T. Δήμου Ζακύνθου,325,201,5,3,8,193,73,49,5,14,43,3,26,9,18,14,2,1,41,10,3,12,3,1,1,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,2,0
29 - Ζακύνθου,37 E.T. Δήμου Ζακύνθου,496,260,10,2,12,248,76,56,8,8,70,14,10,40,43,23,9,5,24,16,4,3,1,0,0,0,6,1,0,13,0,9,1,1,0,0,2,0,0,2,1,1,3,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1
29 - Ζακύνθου,38 E.T. Δήμου Ζακύνθου,463,301,8,3,11,290,106,90,6,7,72,13,24,25,17,6,1,8,64,29,11,6,2,0,0,0,7,1,2,2,1,0,1,0,0,0,1,0,0,0,0,0,6,4,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,4,1
29 - Ζακύνθου,39 E.T. Δήμου Ζακύνθου,105,31,0,0,0,31,12,8,1,3,8,2,0,6,3,1,0,0,3,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29 - Ζακύνθου,40 E.T. Δήμου Ζακύνθου,282,151,5,5,10,141,56,39,6,10,31,10,5,11,8,6,1,1,12,8,0,1,5,0,0,3,2,2,0,8,2,2,1,1,1,0,0,0,0,0,1,1,2,1,6,6,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,2
29 - Ζακύνθου,41 E.T. Δήμου Ζακύνθου,268,131,0,0,0,131,65,47,2,11,19,9,1,6,11,4,3,2,20,7,3,3,2,0,1,0,2,2,0,2,1,1,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1
29 - Ζακύνθου,42 E.T. Δήμου Ζακύνθου,293,171,0,2,2,169,78,60,1,14,34,5,3,17,15,6,5,1,14,5,1,1,3,1,0,0,2,2,0,4,1,3,0,0,0,0,1,0,0,0,0,0,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,5,0,0,3,2,0,0,0,0,1,1
29 - Ζακύνθου,43 E.T. Δήμου Ζακύνθου,442,208,2,2,4,204,87,63,6,10,33,7,5,13,27,18,3,5,28,8,5,9,5,0,1,4,1,0,0,4,1,3,0,0,0,0,2,2,0,0,1,0,2,1,5,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,3,2
29 - Ζακύνθου,44 E.T. Δήμου Ζακύνθου,458,270,7,2,9,261,87,62,3,13,47,10,7,27,25,11,8,4,27,15,1,5,7,1,1,1,12,10,0,4,0,2,0,0,0,0,1,0,0,1,0,0,11,8,20,18,2,1,1,0,0,1,1,0,0,1,1,0,0,4,1,2,2,1,0,0,4,1,1,0,6,2
29 - Ζακύνθου,45 E.T. Δήμου Ζακύνθου,239,159,7,2,9,150,36,18,2,9,30,2,4,20,27,5,17,3,40,31,1,3,1,0,0,0,3,1,0,2,0,1,0,0,0,0,2,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,3
29 - Ζακύνθου,46 E.T. Δήμου Ζακύνθου,509,283,6,3,9,274,57,36,4,8,49,0,4,29,74,56,15,1,72,13,25,18,2,0,0,0,7,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,4,1
29 - Ζακύνθου,47 E.T. Δήμου Ζακύνθου,437,243,3,6,9,234,64,45,6,10,29,4,6,17,50,46,2,0,63,10,24,18,5,3,0,1,7,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,2,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,3,2,3,2
