ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΒΛΑΧΑΚΟΣ ΝΙΚΟΛΑΟΣ του Αντωνίου,ΔΟΥΝΙΑ ΠΑΝΑΓΙΩΤΑ (ΝΟΝΗ) του Δημητρίου,ΚΑΤΣΑΦΑΔΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΜΑΝΩΛΑΚΟΣ ΝΙΚΟΛΑΟΣ του Πέτρου,ΜΕΛΑΣ ΙΩΑΝΝΗΣ του Παναγιώτη,ΜΙΧΑΗΛΙΔΟΥ ΔΟΜΝΑ-ΜΑΡΙΑ του Αριστείδη,ΧΙΩΤΗ ΕΙΡΗΝΗ του Ανδρέα,ΣΥΡΙΖΑ,ΤΣΙΠΡΑΣ ΑΛΕΞΙΟΣ του Παύλου,ΓΕΝΝΙΑ ΓΕΩΡΓΙΑ του Σωκράτη,ΔΡΙΤΣΑΣ ΘΕΟΔΩΡΟΣ του Παναγιώτη,ΛΟΓΟΘΕΤΗ ΑΙΚΑΤΕΡΙΝΗ (ΚΑΤΕΡΙΝΑ) του Στυλιανού,ΜΠΑΚΑΔΗΜΑ ΦΩΤΕΙΝΗ του Αγαθοκλή,ΜΠΕΛΑΒΙΛΑΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΦΩΤΙΑΔΗΣ ΧΡΗΣΤΟΣ του Παναγιώτη,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΘΑΝΑΣΙΑΔΗΣ ΛΑΖΑΡΟΣ (ΤΑΚΗΣ) του Θεοδώρου,ΒΟΥΡΕΞΑΚΗ - ΤΑΜΠΟΥΡΑΤΖΗ ΚΑΤΕΡΙΝΑ (ΚΑΤΙΝΑ) του Αναστασίου,ΒΡΟΝΤΑΚΗΣ ΑΝΔΡΕΑΣ του Παντελή,ΚΑΤΣΑΦΑΔΟΣ ΒΑΣΙΛΕΙΟΣ του Ηλία,ΚΟΥΚΟΥΔΑΚΗ ΜΑΡΙΑ (ΜΑΡΑ) του Ευάγγελου,ΜΠΙΣΤΙΝΑ ΔΕΣΠΟΙΝΑ του Απόστολου,ΣΠΑΝΑΚΟΣ ΝΙΚΟΛΑΟΣ του Σπύρου,Κ.Κ.Ε.,ΑΜΠΑΤΙΕΛΟΣ ΝΙΚΟΛΑΟΣ του Γεράσιμου,ΓΚΙΤΑΚΟΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΕΥΑΓΓΕΛΑΚΗΣ ΑΘΑΝΑΣΙΟΣ του Βασιλείου,ΚΟΤΕΑΣ ΑΛΕΞΑΝΔΡΟΣ του Νικολάου,ΚΥΖΙΛΗ ΕΥΣΤΡΑΤΙΑ ΟΛΥΜΠΙΑ του Κλεάνθη,ΛΕΩΤΣΑΚΟΥ ΑΝΝΑ του Σταύρου,ΣΤΑΜΑΤΕΛΟΥ ΔΗΜΗΤΡΑ του Σπυρίδωνα,Ελληνική Λύση - Κ. Βελόπουλος,ΚΟΝΤΟΜΑΝΩΛΗΣ ΣΤΑΜΑΤΙΟΣ του Νικολάου,ΜΑΔΥΤΙΝΟΥ ΑΓΡΙΠΠΙΝΑ του Αθανασίου,ΜΟΣΧΟΥ ΒΑΣΙΛΕΙΟΣ του Παράσχου,ΜΟΥΓΙΟΣ ΠΕΤΡΟΣ του Ναπολέοντος,ΠΑΝΟΥ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΣΚΥΛΙΤΣΗ ΑΝΝΑ του Γεωργίου,ΨΩΜΙΑΔΟΥ ΧΡΥΣΟΥΛΑ του Παναγιώτη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΒΛΑΝΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Ιωάννη-Παυλή,ΓΕΩΡΓΟΥΛΕΑ ΣΩΤΗΡΙΑ-ΚΥΡΙΑΚΗ (ΣΑΝΤΥ) του Κωνσταντίνου,ΓΚΟΥΜΑΣ ΙΩΑΝΝΗΣ (ΓΙΑΝΗΣ) του Αναστασίου,ΠΕΡΙΦΑΝΗΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΣΤΑΥΡΟΠΟΥΛΟΥ ΣΤΥΛΙΑΝΗ του Σταύρου,ΧΑΡΑΛΑΜΠΑΚΗΣ ΙΩΑΝΝΗΣ του Θεοδώρου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΙΣΣΑ ΜΑΡΙΑ του Χαραλάμπους,ΡΟΥΣΣΗΣ ΦΙΛΙΠΠΟΣ του Ευαγγέλου,Κ.Κ.Ε. (μ-λ),ΒΑΡΣΟΥ ΕΛΕΥΘΕΡΙΑ του Βασιλείου,ΜΠΑΪΡΑΚΤΑΡΗΣ ΑΝΑΣΤΑΣΙΟΣ του Χρήστου,ΤΣΙΚΝΑΣ ΑΝΤΩΝΙΟΣ του Δημητρίου,Ο.Κ.Δ.Ε.,ΖΕΡΜΑΛΙΑ ΕΙΡΗΝΗ του Στυλιανού,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΔΡΙΑΝΟΥ ΙΦΙΓΕΝΕΙΑ ΠΑΝΑΓΙΩΤΑ του Χαραλάμπους ,ΑΛΦΙΕΡΗΣ ΑΝΤΩΝΙΟΣ του Ευτυχίου,ΔΕΛΑΓΡΑΜΜΑΤΙΚΑ ΓΑΡΥΦΑΛΛΙΑ του Γεωργίου,ΔΙΑΒΟΛΑΚΗΣ ΑΘΑΝΑΣΙΟΣ του Στυλιανού,ΜΕΣΟΛΟΓΓΙΤΗ ΠΗΝΕΛΟΠΗ του Νικολάου,ΠΑΝΑΓΙΩΤΑΚΟΠΟΥΛΟΣ ΠΑΝΤΕΛΕΗΜΩΝ του Ευαγγέλου,ΤΑΒΟΥΛΑΡΗΣ ΜΑΤΘΑΙΟΣ ΒΕΝΙΑΜΙΝ ΑΝΤΡΕΑΣ του Ιωάννη,Κίνημα 21,ΠΕΤΤΑΣ ΠΑΝΑΓΙΩΤΗΣ του Γεωργίου,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Θεοδώρου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΕΥΓΕΝΙΔΟΥ ΑΝΔΡΟΝΙΚΗ (ΝΙΚΗ) του Γεωργίου,ΤΟΥΜΠΟΥΛΙΔΗΣ ΙΟΡΔΑΝΗΣ του Γεωργίου,ΝΙΚΗ,ΚΑΨΑΛΗΣ ΣΠΥΡΟΣ του Δημητρίου,ΝΤΑΚΟΥΛΑΣ ΒΑΣΙΛΕΙΟΣ του Ευαγγέλου,ΡΕΤΣΟΣ ΠΑΝΑΓΙΩΤΗΣ του Αθανασίου,ΣΕΝΗ ΜΑΡΙΝΑ του Ευαγγέλου,ΧΑΡΜΠΗ ΑΡΕΤΗ του Λάμπρου,κοινωνία αξιών,ΚΟΤΡΟΖΟΣ ΑΧΙΛΛΕΥΣ του Κωνσταντίνου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΑΡΓΥΡΙΟΥ ΙΟΥΛΙΑ του Μιχαήλ,Ο.Α.Κ.Κ.Ε.,ΧΡΗΣΤΟΥ ΠΑΝΑΓΙΩΤΗΣ του Ευαγγέλου,Μ-Λ Κ.Κ.Ε.,ΝΙΚΗΤΑ ΑΔΑΜΑΝΤΙΑ του Δημητρίου,ΣΤΑΥΡΙΔΗΣ ΙΩΣΗΦ του Σταύρου,Ελλήνων Συνέλευσις,ΖΑΡΜΑΚΟΥΠΗΣ ΑΠΟΣΤΟΛΟΣ του Ιωάννη,ΘΕΜΕΛΗ ΕΛΕΝΗ του Αχιλλέα,ΘΕΟΔΩΡΟΠΟΥΛΟΥ ΕΛΕΝΗ του Θεοδώρου,ΣΚΑΝΤΖΟΣ ΒΑΣΙΛΕΙΟΣ του Εμμανουήλ,ΤΡΑΚΑ ΘΗΡΕΣΙΑ του Ιωάννη,ΤΣΟΡΗΣ ΣΩΤΗΡΙΟΣ του Κωνσταντίνου,ΧΑΤΖΗΓΙΑΝΝΗΣ ΜΙΧΑΗΛ του Γεωργίου,Ένωση Κεντρώων,ΘΕΟΦΙΛΟΠΟΥΛΟΥ ΟΥΡΑΝΙΑ - ΕΛΠΙΝΙΚΗ του Δημητρίου,ΚΑΣΙΜΑΤΗΣ ΓΕΩΡΓΙΟΣ του Βρεττού,ΚΟΚΚΙΝΟΠΑΝΗΣ ΛΕΩΝΙΔΑΣ του Δημητρίου,ΚΟΥΡΓΙΑΛΗ ΦΩΤΕΙΝΗ του Ιωάννη,ΛΑΟΥΤΑΡΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΒΕΝΙΕΡΗ ΚΑΛΛΙΟΠΗ του Σπυρίδωνος,ΡΑΝΤΟΣ ΣΤΕΦΑΝΟΣ του Χαραλάμπου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΑΝΝΟΥΣΑΚΗΣ ΙΩΑΝΝΗΣ του Σταύρου,ΑΞΗΣ ΙΓΝΑΤΙΟΣ του Ηλία,ΕΥΘΥΜΙΟΥ ΓΕΩΡΓΙΑ του Χρήστου,ΙΩΑΝΝΙΔΗΣ - ΚΟΝΤΗΣ ΚΥΡΙΑΚΟΣ του Αχιλλέως,ΝΤΙΛΗ ΕΛΕΝΗ του Ιωάννη,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΑΝΑΣΤΑΣΟΠΟΥΛΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Παναγιώτη,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΒΟΒΟΛΗΣ ΦΑΙΔΩΝ του Ηλία,ΜΠΑΚΟΜΗΤΡΟΥ ΕΥΓΕΝΙΑ του Λουκά,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΔΕΠΑΣΤΑ ΓΙΑΝΝΟΥΛΑ του Παναγιώτη,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΚΟΥΒΑΤΣΟΣ ΠΕΤΡΟΣ του Ηλία,ΜΠΑΪΜΠΑΚΗΣ ΧΡΗΣΤΟΣ του Αντωνίου,ΜΠΟΓΡΗ ΚΩΝΣΤΑΝΤΙΝΑ του Θεοδώρου,Οικολόγοι Πράσινοι,ΜΗΤΡΟ ΖΑΧΑΡΟΥΛΑ του Αναστάση,ΜΗΤΡΟΣ ΑΧΙΛΛΕΑΣ του Αναστάση,ΠΕΤΡΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αλεξάνδρου,ΕΑΝ...,ΦΛΙΣΚΑΝΟΠΟΥΛΟΣ ΑΛΕΞΑΝΔΡΟΣ του Γεωργίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΔΗΜΟΥΛΗ ΑΝΔΡΙΑΝΗ του Νικολάου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΟΥΣΟΥΡΗΣ ΠΕΤΡΟΣ του Δημητρίου,ΣΟΦΙΟΥ ΠΑΝΑΓΙΩΤΑ (ΝΟΤΑ) του Στυλιανού,ΤΖΙΚΑ ΒΑΣΙΛΙΚΗ του Δημητρίου,ΤΡΙΑΝΤΑΦΥΛΛΟΥ ΠΑΥΛΟΣ του Γεωργίου
40 - Α' Πειραιώς,20 E.T. Δήμου Πειραιώς,548,313,8,2,10,303,154,26,28,73,32,16,62,6,70,0,14,20,8,11,25,11,13,1,2,4,7,4,1,0,17,5,0,2,1,1,4,5,6,2,1,0,1,0,1,0,9,1,2,1,0,2,2,0,0,0,0,0,0,0,0,0,4,1,0,2,1,0,0,1,1,1,1,1,1,1,1,7,4,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,2,1,1,1,0,0,1,1,11,0,8,5,2
40 - Α' Πειραιώς,21 E.T. Δήμου Πειραιώς,554,337,0,0,0,337,165,38,20,64,23,26,67,5,60,0,8,12,10,5,12,4,17,2,3,2,5,4,4,0,35,17,1,3,8,3,9,7,14,3,1,0,0,2,4,2,4,1,1,1,0,0,1,2,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,5,2,2,1,1,6,2,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,2,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,14,5,3,1,4
40 - Α' Πειραιώς,22 E.T. Δήμου Πειραιώς,540,337,9,2,11,326,161,42,25,74,26,22,64,8,67,0,11,18,17,5,16,7,25,6,4,3,4,10,6,7,20,13,2,0,3,4,3,7,8,1,2,2,1,2,2,4,7,0,2,0,1,2,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,5,3,3,1,1,11,5,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,10,2,2,2,1
40 - Α' Πειραιώς,23 E.T. Δήμου Πειραιώς,547,366,7,1,8,358,181,43,20,87,19,30,66,11,53,0,9,12,12,6,16,2,20,2,0,3,7,5,2,2,45,18,3,1,2,10,8,10,4,2,0,0,0,0,0,0,11,4,1,1,4,1,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,2,11,6,5,1,3,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,16,2,9,6,3
40 - Α' Πειραιώς,24 E.T. Δήμου Πειραιώς,549,340,3,2,5,335,180,45,28,81,31,18,73,8,57,0,10,20,12,8,19,5,18,3,4,2,3,2,3,3,17,6,2,0,3,3,2,5,13,4,1,4,1,1,2,2,11,3,5,1,0,3,2,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,2,1,2,0,0,0,0,4,2,1,0,2,1,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,2,1,1,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,1,0,1,4,0,0,0,12,1,6,3,2
40 - Α' Πειραιώς,25 E.T. Δήμου Πειραιώς,545,328,3,1,4,324,166,37,32,65,26,28,57,7,65,0,9,20,9,9,17,5,14,0,1,4,5,0,4,0,24,10,1,2,5,2,5,6,6,2,0,1,0,0,4,0,12,1,5,2,0,5,1,1,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,4,3,1,0,3,1,1,4,3,0,1,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,1,2,1,1,1,3,1,1,0,2,2,0,0,7,1,4,3,0
40 - Α' Πειραιώς,26 E.T. Δήμου Πειραιώς,549,339,3,2,5,334,168,39,24,78,36,20,64,4,58,0,10,14,15,6,10,11,17,4,2,3,7,4,6,2,26,7,3,2,4,2,7,9,6,2,0,2,0,0,5,2,12,6,3,5,1,0,2,0,0,0,1,1,0,1,0,0,3,1,0,1,2,0,0,0,1,1,3,1,3,1,2,7,2,1,2,2,1,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,5,2,1,0,1,0,0,0,0,5,4,1,2,3,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,1,1,1,0,0,8,2,4,2,3
40 - Α' Πειραιώς,27 E.T. Δήμου Πειραιώς,481,303,7,3,10,293,136,37,26,73,27,15,47,4,60,0,7,19,7,6,20,8,19,3,4,4,3,6,5,0,17,7,4,1,0,3,2,7,7,2,1,1,2,1,1,2,5,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,2,0,2,2,3,1,1,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,5,0,0,1,2,1,0,0,2,2,2,0,0,2,2,0,2,4,2,3,0,1,1,0,0,17,4,12,5,8
40 - Α' Πειραιώς,28 E.T. Δήμου Πειραιώς,530,340,19,1,20,320,129,23,13,60,38,17,35,10,72,0,7,22,19,10,11,9,19,1,2,1,6,4,4,3,29,11,5,2,8,4,6,7,10,3,2,3,0,1,5,2,7,0,1,1,0,2,1,0,0,0,4,4,2,1,0,0,8,3,2,0,2,3,1,0,3,2,1,1,2,2,1,12,3,3,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,2,0,3,3,3,6,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,8,4,5,3,1
40 - Α' Πειραιώς,29 E.T. Δήμου Πειραιώς,520,345,2,1,3,342,142,35,21,75,27,25,41,5,61,0,7,12,12,12,11,10,25,4,6,8,3,14,4,2,28,12,6,1,5,5,6,6,18,6,4,0,1,0,9,2,15,3,0,2,2,2,4,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,3,1,1,12,5,3,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,3,1,0,0,10,2,2,4,2
40 - Α' Πειραιώς,30 E.T. Δήμου Πειραιώς,526,305,6,2,8,297,124,18,23,69,29,12,31,8,58,0,12,11,14,6,12,5,21,3,7,5,10,4,2,0,19,4,3,4,5,1,7,6,6,1,1,0,0,0,2,1,11,3,4,2,0,5,1,2,1,1,4,1,2,0,0,0,3,0,1,2,0,1,0,0,1,0,3,2,4,1,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,2,0,1,0,0,9,2,1,3,0,3,1,1,1,0,1,2,2,3,1,1,0,3,2,1,1,0,0,0,0,16,3,6,8,2
40 - Α' Πειραιώς,31 E.T. Δήμου Πειραιώς,522,318,8,3,11,307,139,38,14,71,38,22,37,3,57,0,5,15,13,10,5,5,13,1,3,3,6,2,3,1,33,17,4,1,14,2,5,1,13,3,4,4,3,2,1,2,7,3,2,3,1,2,1,1,1,1,1,1,0,1,0,0,3,2,0,1,0,0,0,1,0,0,4,4,2,1,1,3,2,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4,1,3,1,0,2,2,2,2,1,0,0,0,0,0,1,0,2,1,1,2,1,0,0,0,0,4,2,0,1,0,0,1,1,12,1,5,7,1
40 - Α' Πειραιώς,32 E.T. Δήμου Πειραιώς,539,345,11,3,14,331,178,27,21,97,53,22,49,10,54,0,8,9,13,8,5,4,15,1,5,2,4,6,3,0,37,16,4,1,15,6,7,8,11,2,1,1,0,0,3,3,9,0,3,1,1,5,3,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,2,1,3,3,1,0,1,4,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,9,2,5,6,4
40 - Α' Πειραιώς,33 E.T. Δήμου Πειραιώς,528,338,6,3,9,329,142,24,12,85,52,25,26,3,57,0,12,9,21,12,5,6,18,0,2,3,5,4,2,6,34,13,1,3,9,1,6,8,20,8,4,3,0,1,8,7,13,1,5,3,1,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,3,0,3,2,1,7,1,1,0,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2,1,0,2,0,1,1,0,1,0,0,2,2,2,1,0,1,1,0,0,0,2,1,0,0,13,1,10,8,2
40 - Α' Πειραιώς,34 E.T. Δήμου Πειραιώς,533,319,12,1,13,306,141,35,21,59,29,22,43,10,65,0,15,11,6,13,7,7,17,2,2,1,6,9,3,3,30,7,6,1,9,2,6,5,14,3,1,1,1,0,3,1,6,0,2,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,1,3,2,1,0,3,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,2,1,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,11,3,4,3,1
40 - Α' Πειραιώς,35 E.T. Δήμου Πειραιώς,522,335,7,0,7,328,130,36,18,71,37,15,32,3,68,0,14,15,14,8,18,5,18,3,2,4,5,7,3,1,33,10,9,3,11,1,9,3,15,6,1,5,1,2,6,1,6,2,0,1,1,1,2,2,1,1,2,2,1,0,0,0,3,2,0,1,1,2,0,0,0,0,3,1,3,2,1,13,6,5,2,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,2,5,1,2,2,4,1,0,0,1,1,0,2,1,1,1,1,0,2,2,2,0,1,0,4,2,11,3,7,7,2
40 - Α' Πειραιώς,36 E.T. Δήμου Πειραιώς,528,313,4,3,7,306,131,29,23,61,28,18,41,6,60,0,8,12,8,8,6,7,20,5,2,3,4,2,4,2,27,13,3,2,9,4,9,7,10,3,0,1,2,2,3,1,9,1,6,0,1,5,4,1,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,6,5,3,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,4,2,2,3,0,0,2,1,1,0,0,2,0,0,1,1,0,0,0,0,7,5,2,2,0,0,1,1,10,5,4,1,2
40 - Α' Πειραιώς,37 E.T. Δήμου Πειραιώς,528,350,8,1,9,341,142,34,18,75,39,20,33,3,74,0,9,25,9,13,9,12,20,5,6,10,9,8,0,1,33,15,3,1,12,4,8,4,14,9,4,1,2,2,1,2,6,1,5,1,0,2,1,3,1,2,2,0,0,0,0,0,1,0,0,1,0,0,0,1,2,1,1,1,1,0,0,11,5,3,0,4,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,5,1,0,3,1,1,0,0,3,2,1,2,1,0,0,0,0,2,1,0,1,2,1,2,0,10,0,7,6,2
40 - Α' Πειραιώς,38 E.T. Δήμου Πειραιώς,527,324,9,0,9,315,134,37,20,74,26,22,31,6,49,0,5,19,10,9,10,4,16,0,2,3,8,4,5,1,39,15,4,2,9,5,11,7,18,4,2,2,1,3,5,3,4,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,6,4,0,1,1,2,0,3,3,2,4,2,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,2,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,4,13,10,3
40 - Α' Πειραιώς,39 E.T. Δήμου Πειραιώς,528,336,7,2,9,327,129,27,16,65,38,23,31,7,74,0,17,12,16,8,14,6,16,2,5,1,4,3,4,1,42,21,3,0,16,4,9,7,16,9,1,1,1,2,7,5,8,3,2,4,0,2,3,5,4,5,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,1,0,0,0,0,11,4,1,5,5,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,3,2,0,1,0,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,2,1,2,1,9,1,5,3,4
40 - Α' Πειραιώς,40 E.T. Δήμου Πειραιώς,521,332,8,3,11,321,152,35,22,93,40,17,31,7,56,0,4,9,10,11,6,8,11,1,3,2,2,4,0,1,33,19,0,3,16,2,4,2,17,5,2,0,1,1,6,4,6,1,2,1,0,1,3,1,0,0,0,0,0,0,0,0,3,0,0,1,1,1,1,0,1,1,3,0,5,3,2,4,2,0,1,2,0,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,4,0,1,3,0,2,1,0,3,0,1,1,1,1,0,0,0,2,0,1,2,0,0,0,0,10,2,4,5,0
40 - Α' Πειραιώς,41 E.T. Δήμου Πειραιώς,540,340,12,1,13,327,157,30,15,71,38,20,52,7,55,0,12,3,10,12,10,6,15,2,7,3,5,2,3,1,35,15,4,4,5,9,8,6,14,3,3,2,0,1,3,5,9,0,1,1,1,1,0,3,1,1,1,0,0,0,0,0,2,1,0,0,0,1,0,0,2,0,3,2,2,1,1,9,3,2,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,11,1,3,4,1
40 - Α' Πειραιώς,42 E.T. Δήμου Πειραιώς,521,334,10,1,11,323,141,27,26,57,39,23,38,8,68,0,9,13,17,9,10,13,13,2,3,0,3,3,1,0,29,12,1,3,8,8,6,4,12,1,1,1,1,0,4,2,12,0,2,1,2,3,2,1,1,1,0,0,0,0,0,0,5,0,0,1,2,0,0,1,1,0,1,1,6,3,2,6,3,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,2,0,1,2,1,0,0,0,0,3,0,0,0,1,1,0,0,16,2,6,3,1
40 - Α' Πειραιώς,43 E.T. Δήμου Πειραιώς,535,336,9,0,9,327,159,35,32,86,45,15,38,6,65,0,3,18,16,15,14,4,11,0,1,3,0,4,2,3,29,11,4,2,4,3,6,7,10,6,2,3,1,1,3,1,9,1,5,2,0,6,1,1,1,1,1,0,0,0,0,0,2,0,2,1,0,0,0,1,2,2,0,0,3,1,1,7,2,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,5,5,0,0,0,0,2,1,1,1,0,0,0,0,17,4,9,11,3
40 - Α' Πειραιώς,44 E.T. Δήμου Πειραιώς,521,317,6,3,9,308,130,29,16,61,32,14,32,4,70,0,9,6,19,8,17,14,8,0,3,0,1,5,3,0,35,13,5,1,5,7,9,12,12,4,4,1,1,1,6,2,8,0,5,3,1,4,0,0,0,0,1,0,0,0,0,0,3,2,2,0,0,0,1,0,1,0,2,1,0,0,0,11,7,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,4,0,0,0,0,4,2,0,1,4,3,2,0,0,0,0,0,12,1,8,8,1
