ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΓΙΑΝΝΙΚΟΥΡΗΣ ΑΝΤΩΝΙΟΣ του Εμμανουήλ,ΕΜΜΑΝΟΥΗΛ ΑΙΚΑΤΕΡΙΝΗ-ΣΤΥΛΙΑΝΗ του Αντωνίου,ΙΑΤΡΙΔΗ ΤΣΑΜΠΙΚΑ (ΜΙΚΑ) του Ιωάννη,ΚΟΝΣΟΛΑΣ ΕΜΜΑΝΟΥΗΛ (ΜΑΝΟΣ) του Νικία,ΠΑΠΠΑΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΥΨΗΛΑΝΤΗΣ ΒΑΣΙΛΕΙΟΣ-ΝΙΚΟΛΑΟΣ του Αναστασίου,ΦΤΑΚΛΑΚΗ ΠΑΡΑΣΚΕΥΗ-ΕΛΕΥΘΕΡΙΑ (ΛΙΤΣΑ) του Παναγιώτη,ΣΥΡΙΖΑ,ΤΣΙΠΡΑΣ ΑΛΕΞΙΟΣ του Παύλου,ΓΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Θωμά,ΓΙΑΝΝΑΡΟΥ ΣΤΥΛΙΑΝΗ (ΣΤΕΛΛΑ) του Νικολάου,ΚΑΜΑΤΕΡΟΣ ΗΛΙΑΣ του Ιωάννη,ΚΑΡΑΓΙΑΝΝΗ ΧΡΥΣΟΥΛΑ (ΧΡΥΣΑ) του Σάββα,ΚΑΣΣΑΡΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΣΑΡΑΝΤΗ ΑΙΚΑΤΕΡΙΝΗ (ΚΑΤΕΡΙΝΑ) του Βασιλείου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΒΟΛΟΝΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Μιχαήλ,ΓΑΒΑΛΑ ΚΑΤΕΡΙΝΑ του Νικολάου,ΚΟΥΝΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ του Πέτρου,ΝΙΚΗΤΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΟΙΚΟΥΤΑ ΕΛΕΥΘΕΡΙΑ του Ευριπίδη,ΧΑΝΙΩΤΗΣ ΜΙΧΑΗΛ του Φραγκίσκου,ΧΑΤΖΗΔΙΑΚΟΣ ΦΩΤΙΟΣ του Στέργου,Κ.Κ.Ε.,ΑΓΓΕΛΟΥ ΙΩΑΝΝΗΣ του Γεωργίου,ΓΟΥΡΛΑ ΔΕΣΠΟΙΝΑ του Νικολάου,ΚΟΥΝΤΟΥΡΗ ΘΕΑΝΩ του Εμμανουήλ,ΜΑΚΡΗ ΚΥΡΙΑΚΗ (ΚΙΚΗ) του Νικολάου,ΠΟΤΣΟΣ ΚΑΛΕΤΟΣ (ΤΑΚΗΣ) του Κωνσταντίνου,ΤΣΟΥΚΑΛΑΣ ΓΕΩΡΓΙΟΣ του Μάμμα,ΦΡΑΖΗΣ ΝΙΚΟΛΑΟΣ ΝΕΚΤΑΡΙΟΣ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΝΤΩΝΟΓΛΟΥ ΜΑΡΙΚΑ του Κυριάκου,ΓΑΒΑΛΑΣ ΧΑΡΑΛΑΜΠΟΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΚΑΛΥΜΙΑΛΑΡΗΣ ΜΙΧΑΗΛ του Ιωάννη,ΚΑΡΑΜΠΑΤΗΣ ΜΙΧΑΗΛ του Ιωάννη,ΛΥΚΟΠΑΝΤΗ ΕΙΡΗΝΗ του Ηλία,ΜΑΝΟΥΣΟΥ ΕΛΕΝΗ του Δαμιανού,ΠΑΠΟΥΤΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Στέφανου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΛΑΒΕΡΑΣ ΦΙΛΙΠΠΟΣ του Κωνσταντίνου,ΚΑΝΕΤΑΚΗΣ ΓΕΩΡΓΙΟΣ του Θεμιστοκλή,ΚΟΡΑΚΙΑΝΙΤΗ ΠΑΡΑΣΚΕΥΗ (ΒΟΥΛΑ) του Σπυρίδωνα,ΜΠΑΡΑΚΑΣ ΑΘΑΝΑΣΙΟΣ του Αντωνίου,ΠΑΠΑΓΕΩΡΓΙΟΥ ΔΗΜΗΤΡΙΟΣ του Σάββα,ΣΟΥΛΟΥ ΑΝΝΑ (ΑΝΝΕΤΑ) του Νικολάου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΑΝΛΗ ΜΑΡΙΑ του Ελπιδοφόρου,ΜΕΝΤΙΣΟΠΟΥΛΟΥ ΑΝΝΑ του Κυριάκου,ΜΠΕΛΛΟΣ ΑΠΟΣΤΟΛΟΣ του Βασιλείου,Κ.Κ.Ε. (μ-λ),ΜΠΑΚΑΣ ΑΓΓΕΛΟΣ του Βασιλείου,Ο.Κ.Δ.Ε.,ΚΟΛΙΟΥ ΞΑΝΘΗ του Ιωάννη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΑΘΟΠΟΥΛΗ ΧΡΥΣΑΝΘΗ ΑΛΚΗΣΤΗ του Σακελλάριου Νικόλαου,ΚΟΜΗΝΕΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,ΚΥΠΡΙΩΤΗΣ ΛΑΜΠΡΟΣ του Μιχαήλ,Κίνημα 21,ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΑΦΣΑΡΙΔΗ ΚΡΥΣΤΑΛΙΑ του Προδρόμου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΒΡΟΥΒΑΣ ΓΕΩΡΓΙΟΣ του Αντωνίου,ΚΑΠΕΤΑΝΑΚΗ ΙΩΑΝΝΑ του Ανδρέα,ΣΤΕΦΑΝΑΚΗ ΜΑΡΙΑ του Χρήστου,ΝΙΚΗ,ΝΤΟΥΦΑΣ ΘΕΟΦΑΝΗΣ του Γεωργίου,ΠΑΠΑΣΤΑΜΑΤΑΚΗΣ ΣΤΑΜΑΤΙΟΣ του Γεωργίου,ΠΑΡΑΣΧΗ ΑΝΑΣΤΑΣΙΑ του Αντωνίου,κοινωνία αξιών,ΧΙΩΤΙΝΗ (ΚΥΒΕΛΟΥ) ΣΤΕΛΛΑ-ΣΟΦΙΑ του Ιωάννου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΓΑΖΑΚΗ ΖΩΗ του Παντελή,Ο.Α.Κ.Κ.Ε.,ΚΑΡΑΚΑΤΣΑΝΗΣ ΦΡΑΝΤΖΕΣΚΟΣ του Ιωάννη,Μ-Λ Κ.Κ.Ε.,ΑΜΑΛΛΟΥ ΘΕΜΙΣ του Αναστάσιου,Ελλήνων Συνέλευσις,ΗΡΑΚΛΕΙΔΗΣ ΕΥΑΓΓΕΛΟΣ του Νικολάου,ΚΑΛΑΒΡΙΑ ΓΕΩΡΓΙΑ του Μιχαήλ,ΜΟΣΧΗ ΤΣΑΜΠΙΚΑ του Κυριάκου,ΜΠΕΛΕΓΡΗΣ ΣΩΤΗΡΙΟΣ ΣΑΒΒΑΣ του Ηλία,ΠΑΠΑΔΟΠΟΥΛΟΥ ΠΑΡΘΕΝΑ του Αντωνίου,ΦΕΛΕΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Παναγιώτη,ΧΑΤΖΗΔΗΜΗΤΡΙΟΥ ΕΜΜΑΝΟΥΗΛ του Ευστάθιου,Ένωση Κεντρώων,ΑΝΔΡΕΑΔΗΣ ΔΙΑΜΑΝΤΗΣ του Ευστρατίου,ΑΧΛΑΔΗ ΤΟΥΛΑ (ΠΑΜΕΛΑ) του Νικολάου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΖΑΧΑΡΙΑΣ ΣΑΒΒΑΣ του Παναγιώτη,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΧΑΡΑΛΑΜΠΙΔΗΣ ΑΛΕΞΙΟΣ του Γεωργίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΤΖΑΝΗΣ (ΖΑΝΝΗΣ) ΙΩΑΝΝΗΣ του Νικολάου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΧΑΛΚΙΤΗΣ ΔΗΜΗΤΡΙΟΣ του Μιχαήλ,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΠΕΤΡΟΠΟΥΛΟΣ ΑΝΑΣΤΑΣΙΟΣ του Βασιλείου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΧΑΤΖΗΙΩΑΝΝΟΥ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,Οικολόγοι Πράσινοι,ΔΕΛΛΑΤΟΛΑ ΑΝΝΑ του Ματθαίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΖΑΖΑΝΗ ΑΘΑΝΑΣΙΑ του Αναστασίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΘΑΝΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,ΛΑΪΝΑ ΜΑΡΙΑ του Αθανασίου,ΠΑΝΑΗ ΕΥΑΓΓΕΛΙΑ του Μιχαήλ,ΣΑΒΒΙΔΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (ΚΩΣΤΗΣ) του Νικολάου,ΧΑΛΚΙΑΣ ΙΩΑΝΝΗΣ του Βασιλείου
52 - Δωδεκανήσου,19 E.T. Δήμου Καλυμνίων,500,189,4,0,4,185,100,23,10,36,32,27,27,2,29,0,1,0,4,1,24,0,11,1,10,1,0,0,1,1,12,0,8,1,0,0,8,3,18,3,17,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,6,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0
52 - Δωδεκανήσου,20 E.T. Δήμου Καλυμνίων,499,224,7,2,9,215,116,11,11,38,38,41,41,1,38,0,1,1,1,0,31,2,11,1,7,5,6,0,0,2,8,0,7,0,1,0,4,0,17,2,15,3,2,1,0,3,2,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,4,0,0,0,0,0,1,0,1,1,1,1,3,3,2,1,1,0,0,1
52 - Δωδεκανήσου,21 E.T. Δήμου Καλυμνίων,486,236,5,2,7,229,119,24,14,47,43,39,31,3,35,0,4,1,2,3,30,2,10,3,7,1,5,0,0,1,12,0,11,0,0,0,9,0,24,3,14,2,1,0,1,6,2,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,1,1,0,1,15,5,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0
52 - Δωδεκανήσου,22 E.T. Δήμου Καλυμνίων,474,192,1,1,2,190,111,24,10,36,41,37,31,4,31,0,1,1,4,0,27,1,14,2,8,2,3,1,1,1,8,1,4,0,1,0,2,0,12,1,10,1,0,0,0,3,5,2,0,2,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,6,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
52 - Δωδεκανήσου,23 E.T. Δήμου Καλυμνίων,469,248,5,1,6,242,125,20,10,42,44,35,38,5,31,0,0,1,3,1,26,1,19,2,13,1,9,1,0,3,16,1,13,2,0,0,7,1,21,2,14,2,3,4,1,3,3,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,11,4,7,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,2,2,0,0,2,2,0,0,2,1,0,0,2,1,0,0,3,0,1,1,1,0
52 - Δωδεκανήσου,24 E.T. Δήμου Καλυμνίων,490,204,3,0,3,201,92,26,15,21,24,17,40,2,35,0,3,3,7,2,30,2,14,3,13,0,3,0,0,1,17,0,13,0,0,0,8,0,17,1,13,3,0,1,5,1,4,0,2,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,5,2,4,2,9,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
52 - Δωδεκανήσου,25 E.T. Δήμου Καλυμνίων,481,197,5,1,6,191,112,19,12,51,36,24,34,3,31,0,3,1,4,1,26,1,16,2,13,0,6,0,1,2,7,2,4,0,1,0,4,0,9,2,9,1,1,0,0,1,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,2,3,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
52 - Δωδεκανήσου,26 E.T. Δήμου Καλυμνίων,523,228,4,1,5,223,102,8,14,45,29,39,35,1,55,0,6,0,4,6,48,4,10,2,7,3,2,1,0,1,5,0,5,0,2,0,3,0,18,2,12,1,0,0,2,1,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,1,3,7,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,3,2,3,3,0,0,4,4,1,0,3,3,0,0,2,0,2,2,0,0
52 - Δωδεκανήσου,27 E.T. Δήμου Καλυμνίων,521,194,5,0,5,189,86,9,13,30,35,28,33,1,31,0,2,0,8,1,28,1,9,1,7,1,2,0,0,0,22,6,15,2,3,0,15,0,20,3,14,2,3,2,4,2,2,1,1,0,0,0,0,2,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,9,4,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,2,1,2,0,1,0
52 - Δωδεκανήσου,28 E.T. Δήμου Καλυμνίων,513,208,9,1,10,198,106,20,13,36,38,29,39,2,37,0,0,1,1,1,28,0,8,2,5,0,3,0,0,1,11,1,9,1,1,0,5,1,11,0,10,1,0,0,0,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,8,4,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,1,0,1,1,1,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
52 - Δωδεκανήσου,29 E.T. Δήμου Καλυμνίων,481,195,1,0,1,194,107,23,16,39,39,25,39,2,28,0,1,2,5,2,24,2,18,2,11,5,6,0,0,3,13,0,9,3,2,1,5,1,10,3,7,1,0,1,0,2,4,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,5,3,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
52 - Δωδεκανήσου,30 E.T. Δήμου Καλυμνίων,517,229,8,1,9,220,96,14,11,29,41,29,25,0,46,0,3,2,6,2,32,0,20,2,13,1,7,0,0,5,5,1,2,0,0,0,0,1,27,0,24,1,1,2,1,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,1,7,3,1,0,0,0,0,0,0,0,4,0,1,0,0,0,4,2,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,2,2,1,0,0,0
52 - Δωδεκανήσου,31 E.T. Δήμου Καλυμνίων,474,236,5,0,5,231,129,17,12,42,73,28,33,5,25,0,1,1,3,0,19,2,12,5,10,1,2,0,0,1,8,2,5,0,3,0,3,0,11,3,9,0,0,0,1,1,5,1,1,1,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,16,7,10,11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5,0,1,0,0,0,1,1,0,0,0,0,0,0,9,3,3,4,2,1
52 - Δωδεκανήσου,32 E.T. Δήμου Καλυμνίων,502,208,4,2,6,202,91,14,10,17,32,18,44,6,32,0,3,0,6,0,23,1,20,3,13,2,4,0,1,1,12,0,11,0,0,0,5,0,24,1,18,1,1,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,8,0,7,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,0,1,1,1,1,5,2,3,2,0,1
52 - Δωδεκανήσου,33 E.T. Δήμου Καλυμνίων,520,226,5,1,6,220,127,26,13,40,45,27,51,0,34,0,1,0,2,1,27,0,12,3,8,0,6,0,1,1,2,0,1,1,0,0,1,0,18,3,14,0,0,2,0,5,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,11,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,5,1,3,0,1,1
52 - Δωδεκανήσου,34 E.T. Δήμου Καλυμνίων,483,229,2,2,4,225,102,19,10,34,31,33,35,2,42,0,4,0,8,1,34,2,16,4,8,2,7,1,2,2,5,2,3,0,0,0,3,2,35,7,24,3,2,2,1,6,5,1,0,1,1,2,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,6,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,4,4,0,0,1,0,0,0,1,1,1,1,0,0,1,0
52 - Δωδεκανήσου,35 E.T. Δήμου Καλυμνίων,489,193,3,0,3,190,87,13,8,28,41,23,29,2,40,0,4,0,2,2,29,1,15,4,14,0,2,0,1,0,11,1,8,0,0,0,5,0,13,0,12,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,5,8,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0
52 - Δωδεκανήσου,36 E.T. Δήμου Καλυμνίων,504,232,3,0,3,229,116,15,2,23,61,40,33,4,42,0,1,0,1,0,33,2,12,2,8,0,3,0,0,0,3,1,1,0,0,0,1,0,19,0,12,1,0,0,0,2,0,0,0,0,0,0,0,3,3,1,2,1,1,0,0,2,2,0,1,0,0,1,0,4,1,1,1,14,2,6,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,2,1,2,2,0,0,0,0,3,2,2,0,0,2,0,0
52 - Δωδεκανήσου,37 E.T. Δήμου Καλυμνίων,517,207,4,0,4,203,91,17,13,31,41,27,23,2,44,0,2,1,8,3,35,3,7,4,6,0,1,0,0,1,12,0,12,2,1,0,6,0,15,1,14,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,2,1,12,4,10,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,3,0,0,0,0,0,0,0,0,2,2,8,4,2,1,2,1
52 - Δωδεκανήσου,38 E.T. Δήμου Καλυμνίων,510,204,1,2,3,201,103,13,15,22,41,27,43,2,37,0,1,1,4,3,35,2,13,2,6,2,5,0,0,3,12,0,9,0,2,0,8,1,20,1,19,1,0,0,0,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,5,0,3,3,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
52 - Δωδεκανήσου,39 E.T. Δήμου Καλυμνίων,485,200,4,0,4,196,93,17,19,27,41,25,26,1,41,0,5,2,4,2,29,5,19,5,16,2,5,0,1,3,6,1,4,1,0,0,4,0,13,2,10,1,0,1,0,2,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,1,1,0,1,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,3,3,0,0,4,1,2,3,1,0
52 - Δωδεκανήσου,40 E.T. Δήμου Καλυμνίων,490,209,2,0,2,207,100,8,13,35,36,44,33,1,33,0,0,0,3,3,26,2,10,4,7,1,3,0,0,0,18,3,10,1,0,1,10,0,20,3,18,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,11,3,4,7,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,3,3,0,0,0,0,1,1,4,0,2,1,0,0
52 - Δωδεκανήσου,41 E.T. Δήμου Καλυμνίων,501,189,5,0,5,184,86,11,4,26,32,23,27,1,31,0,0,1,2,4,23,4,29,6,24,7,3,2,2,2,8,0,4,0,0,0,2,0,20,1,15,0,0,1,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
52 - Δωδεκανήσου,42 E.T. Δήμου Καλυμνίων,519,220,13,2,15,205,112,26,25,37,34,25,38,2,30,0,1,0,2,4,25,2,15,5,12,0,6,0,0,2,14,2,9,1,1,0,6,0,19,1,17,0,2,0,3,0,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1
52 - Δωδεκανήσου,43 E.T. Δήμου Καλυμνίων,474,222,5,2,7,215,90,18,7,21,52,22,36,3,51,0,1,3,4,5,39,6,17,5,7,0,7,0,2,4,10,0,7,0,0,0,6,0,19,1,15,0,1,0,0,3,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,7,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,1
52 - Δωδεκανήσου,44 E.T. Δήμου Καλυμνίων,486,197,0,1,1,196,87,14,12,26,35,29,30,4,36,0,0,0,0,0,30,1,21,5,16,1,10,0,0,1,3,1,1,0,1,0,0,2,18,1,14,2,1,1,3,2,8,2,2,1,1,2,2,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,2,1,1,1,8,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,3,1
52 - Δωδεκανήσου,45 E.T. Δήμου Καλυμνίων,504,213,13,0,13,200,101,10,12,29,35,29,56,0,31,0,3,0,5,1,27,2,24,2,20,1,6,1,0,1,14,1,10,1,0,0,10,1,11,1,9,0,0,1,1,2,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,1,0,0,0,1,0,1,1,0,0,5,2,4,2,1,0
52 - Δωδεκανήσου,46 E.T. Δήμου Καλυμνίων,475,200,4,2,6,194,84,13,12,28,31,23,23,3,35,0,6,3,5,1,27,1,12,6,9,0,1,1,0,1,9,0,7,0,0,0,6,1,12,1,11,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,17,7,7,8,0,0,0,0,0,0,1,1,4,0,0,0,0,0,4,0,1,1,0,0,0,4,2,2,0,2,1,2,1,1,0,1,1,0,0,2,1,0,0,0,1
52 - Δωδεκανήσου,47 E.T. Δήμου Καλυμνίων,508,197,5,2,7,190,84,14,8,38,30,30,20,0,27,0,2,0,3,1,24,1,9,3,5,3,3,0,0,0,15,3,11,0,3,0,4,1,25,2,23,2,0,4,2,4,2,1,2,0,0,0,1,2,0,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,4,3,1,1,0,0,0,0,3,2,6,0,1,2,1,1
52 - Δωδεκανήσου,48 E.T. Δήμου Καλυμνίων,476,242,5,1,6,236,110,9,19,26,46,41,42,3,40,0,0,1,7,0,32,3,15,2,11,1,2,1,1,1,10,0,7,1,1,0,6,1,21,2,17,2,1,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,21,6,15,11,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,3,3,0,0,2,0,1,1,0,0,0,0,0,0,5,0,0,0,1,0
52 - Δωδεκανήσου,49 E.T. Δήμου Καλυμνίων,409,186,4,2,6,180,91,21,8,29,38,33,20,1,36,0,1,0,5,0,28,2,13,1,5,1,6,0,0,2,8,1,5,0,0,0,3,0,5,1,5,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,6,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,2,0,0,0,1,1,1,1,0,0,0,0,1,0,5,0,2,4,0,1
52 - Δωδεκανήσου,50 E.T. Δήμου Καλυμνίων,81,53,0,0,0,53,36,4,1,11,25,6,14,2,1,0,0,0,0,0,1,1,3,1,2,1,1,1,0,0,2,0,2,0,0,0,2,0,5,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
