ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΖΕΜΠΙΛΗΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,ΚΑΡΑΜΠΑΤΣΩΛΗ ΚΩΝΣΤΑΝΤΙΝΑ του Θεοδώρου,ΚΑΡΒΕΛΑΣ ΣΤΥΛΙΑΝΟΣ (ΣΤΕΛΙΟΣ) του Ιωάννη,ΚΕΔΙΚΟΓΛΟΥ ΣΥΜΕΩΝ (ΣΙΜΟΣ) του Βασιλείου,ΛΑΓΟΣ ΦΩΤΙΟΣ του Κωνσταντίνου,ΠΝΕΥΜΑΤΙΚΟΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,ΣΤΑΜΑΤΕΑ-ΒΑΡΔΟΥΛΑΚΗ ΑΝΑΣΤΑΣΙΑ του Κωνσταντίνου,ΤΡΙΓΩΝΗ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Μάνθου-Κωνσταντίνου,ΣΥΡΙΖΑ,ΑΚΡΙΩΤΟΥ ΘΕΟΔΩΡΑ του Γεωργίου,ΑΠΟΣΤΟΛΟΥ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΓΙΑΧΟΛΛΑΡΗ ΑΓΓΕΛΟΣ ΔΙΟΝΥΣΙΟΣ του Νίκο,ΘΑΛΑΣΣΙΝΟΥ ΑΛΕΞΑΝΔΡΑ του Γεωργίου,ΚΕΔΙΚΟΓΛΟΥ ΣΥΜΕΩΝ του Άγγελου,ΛΙΒΑΝΙΟΥ ΖΩΗ του Ευάγγελου,ΦΡΥΓΑΝΙΩΤΗ ΕΥΛΑΜΠΙΑ (ΒΑΝΑ) του Γεωργίου,ΧΑΤΖΗΓΙΑΝΝΑΚΗΣ ΜΙΛΤΙΑΔΗΣ του Ευάγγελου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΘΕΟΔΩΡΟΥ ΑΛΕΞΑΝΔΡΟΣ του Ιωάννη,ΚΑΖΑΝΗ ΑΙΚΑΤΕΡΙΝΗ του Νικολάου,ΚΑΛΑΒΡΗΣ ΙΩΑΝΝΗΣ του Αθανασίου,ΚΙΟΥΚΗ ΜΑΡΙΑ του Κωνσταντίνου,ΜΠΟΥΡΑΝΤΑΣ ΓΕΩΡΓΙΟΣ του Αθανασίου,ΣΟΥΡΡΑΣ ΙΩΑΝΝΗΣ του Σπυρίδωνος,ΤΑΡΤΗΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,ΤΟΥΛΟΥΜΗ ΑΝΝΑ - ΕΙΡΗΝΗ του Νικολάου,Κ.Κ.Ε.,ΑΥΛΩΝΙΤΗ ΔΗΜΗΤΡΑ (ΤΑΝΙΑ) του Ευαγγέλου,ΓΕΩΡΓΑΝΤΖΗΣ ΕΥΑΓΓΕΛΟΣ του Κωνσταντίνου,ΜΑΡΙΝΟΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΜΟΥΤΟΥΣΙΔΗΣ ΣΤΕΦΑΝΟΣ του Γεωργίου,ΠΑΠΑΣΩΤΗΡΙΟΥ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΠΥΘΟΥΛΑ ΓΕΩΡΓΙΑ ΔΕΣΠΟΙΝΑ του Παρασκευά,ΤΖΑΒΑΡΑΣ ΙΩΑΝΝΗΣ του Ευαγγέλου Αντωνίου,ΤΣΙΒΙΚΑ ΓΡΑΝΕΤΑ του Ευαγγέλου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΡΜΟΝΗΣ ΒΑΣΙΛΕΙΟΣ του Νικολάου,ΓΙΑΠΑΠΠΑ ΕΥΑΓΓΕΛΙΑ του Ευσταθίου,ΚΑΤΣΙΑΜΑΚΑΣ ΙΩΑΝΝΗΣ του Σπυρίδωνος,ΛΙΩΝΗΣ ΕΥΑΓΓΕΛΟΣ του Ιωάννη,ΜΠΑΣΟΥΚΟΣ ΑΠΟΣΤΟΛΟΣ του Ανέστη,ΠΑΠΑΝΔΡΕΟΥ ΔΑΥΙΔ- ΕΥΣΤΑΘΙΟΣ του Νικολάου,ΤΣΑΛΑΜΑΝΙΟΥ ΑΜΒΡΟΣΙΑ του Στρατηγάκη,ΤΣΙΜΠΟΥ ΦΩΤΕΙΝΗ του Χρήστου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΛΕΞΙΟΥ ΔΗΜΗΤΡΙΟΣ του Ευαγγέλου,ΕΛΕΥΘΕΡΙΑΔΟΥ ΔΕΣΠΟΙΝΑ του Σωκράτη,ΚΑΡΑΠΑ ΑΓΓΕΛΙΚΗ του Ιωάννη,ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΕΥΘΥΜΙΟΣ (ΜΑΚΗΣ) του Ιωάννη,ΠΑΠΑΛΥΜΠΕΡΗΣ ΙΣΙΔΩΡΟΣ του Δημητρίου,ΡΟΓΚΑ ΣΠΥΡΙΔΑ (ΙΡΙΔΑ) του Γεωργίου,ΣΤΟΥΡΝΑΡΑΣ ΙΩΑΝΝΗΣ-ΛΑΖΑΡΟΣ του Κωνσταντίνου,ΧΑΤΖΗΚΑΛΥΜΝΙΟΥ ΔΗΜΗΤΡΑ του Στέργου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΟΡΔΩΝΗ ΣΟΦΙΑ του Αθανασίου,ΚΥΡΙΑΖΗΣ ΕΥΑΓΓΕΛΟΣ του Κωνσταντίνου,ΤΟΥΛΙΤΣΗΣ ΕΠΑΜΕΙΝΩΝΔΑΣ του Κωνσταντίνου,ΦΟΝΤΟΡ ΕΛΕΝΑ του Αντρέι,ΧΡΙΣΤΟΦΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΤΣΙΛΙΧΡΗΣΤΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,Ο.Κ.Δ.Ε.,ΔΗΜΑΤΑ ΑΝΑΣΤΑΣΙΑ του Παναγιώτη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΘΕΟΤΟΚΑΤΟΣ ΛΟΥΚΑΣ του Ανδρέα,ΚΙΤΣΟΣ ΙΩΑΝΝΗΣ του Ζώη,ΚΟΥΡΝΟΠΟΥΛΟΥ ΑΝΤΩΝΙΑ του Δημοσθένη,ΜΠΕΝΖΕΛΟΥΝ ΑΡΑΜΠΙ ΣΟΦΙΑ του Αμπτελσαμάντ,ΜΠΟΥΣΟΥΛΑΣ ΘΕΟΔΩΡΟΣ του Χαραλάμπους,ΤΡΑΧΑΝΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,Κίνημα 21,ΜΟΣΣ ΕΒΕΛΙΝΑ – ΓΕΩΦΡΑΝΑ του Ντόναλντ,ΡΕΓΚΟΥΚΟΣ ΣΤΑΜΑΤΙΟΣ του Θεόδωρου,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΦΟΥΣΤΕΡΗΣ ΙΩΑΝΝΗΣ του Νικήτα,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΑΘΑΝΑΣΙΑΔΗ ΝΑΤΑΛΙΑ του Ιωάννη,ΠΟΛΙΤΗΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΣΤΑΜΑΤΙΟΥ ΧΡΗΣΤΟΣ του Ιωάννη,ΝΙΚΗ,ΤΣΟΚΑΣ ΑΘΑΝΑΣΙΟΣ του Νικολάου,κοινωνία αξιών,ΠΑΝΑΓΙΩΤΟΥ ΑΛΕΞΑΝΔΡΑ του Δημητρίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΒΑΛΒΗ ΜΑΡΙΑ του Νικολάου,ΓΑΖΑΚΗ ΘΕΑΝΩ του Κωνσταντίνου,ΜΗΤΣΑΣ ΔΗΜΗΤΡΙΟΣ του Παντελή,Ο.Α.Κ.Κ.Ε.,ΜΗΛΤΣΟΥ ΒΑΣΙΛΙΚΗ του Στεφάνου,Μ-Λ Κ.Κ.Ε.,ΖΩΓΡΑΦΟΥ ΣΟΥΛΤΑΝΑ του Κωνσταντίνου,Ελλήνων Συνέλευσις,ΘΕΜΕΛΗΣ ΧΡΙΣΤΟΦΟΡΟΣ του Ιωάννη,ΙΑΚΩΒΟΥ ΑΝΑΣΤΑΣΙΑ του Πέτρου,Ένωση Κεντρώων,ΓΙΑΝΝΑΚΟΥΡΗ ΑΝΝΑ - ΜΑΡΙΑ του Αναστασίου,ΓΚΑΒΑΛΗΣ ΝΙΚΟΛΑΟΣ του Προκοπίου,ΔΡΟΥΛΙΑΣ ΕΥΘΥΜΙΟΣ του Δημητρίου,ΣΥΡΟΠΟΥΛΟΥ ΕΛΕΝΗ του Κωνσταντίνου,ΤΣΙΜΠΟΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΝΤΕΡΜΠΕΝΤΕΡΗ ΚΡΥΣΤΑΛΛΙΑ του Αθανασίου,ΧΑΡΑΛΑΜΠΟΥΣ ΓΙΑΝΝΗΣ του Ευσταθίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΔΑΥΡΗΣ ΑΛΕΞΑΝΔΡΟΣ του Ανδρέα,ΔΕΔΕΣ ΙΩΑΝΝΗΣ του Αντωνίου,ΛΑΜΠΡΟΥ ΣΤΑΥΡΟΣ του Γεωργίου,ΜΑΛΑ ΛΟΥΚΙΑ του Μιλτιάδη,ΜΑΡΜΑΡΙΝΟΣ ΧΡΗΣΤΟΣ του Αναστασίου,ΜΗΤΣΙΟΠΟΥΛΟΥ ΕΥΘΥΜΙΑ του Αντωνίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΥΜΟΥΡΤΖΗ ΕΛΕΝΗ του Αποστόλου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΓΛΥΤΣΗΣ ΕΜΜΑΝΟΥΗΛ του Γεωργίου,Κ.Ο.Τ.Ε.Σ.,ΜΠΑΪΚΟΥΣΗ ΑΛΕΞΑΝΔΡΑ του Αθανασίου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΛΟΓΙΑΝΝΗΣ ΚΛΕΑΡΧΟΣ του Κωνσταντίνου,ΜΕΤΑΛΛΗΝΟΥ ΕΥΑΓΓΕΛΙΑ του Σπυρίδωνος,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΤΕΛΙΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,Οικολόγοι Πράσινοι,ΠΟΛΙΤΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Φωκίωνα,ΕΑΝ...,ΠΑΡΙΣΗ - ΚΟΤΣΟΠΟΥΛΗ ΑΙΚΑΤΕΡΙΝΗ του Δημητρίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΝΤΑΛΙΑΝΗΣ ΑΡΓΥΡΙΟΣ του Στεφάνου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ ΖΩΗ του Νικολάου,ΔΡΑΚΟΥΛΗΣ ΑΛΕΞΑΝΔΡΟΣ του Γεωργίου,ΚΑΨΟΡΑΧΗΣ ΑΘΑΝΑΣΙΟΣ του Ευσταθίου,ΡΟΥΜΠΗΣ ΕΥΑΓΓΕΛΟΣ του Ευθυμίου,ΣΤΑΡΑΝΤΖΗ ΜΑΡΙΑ του Γεωργίου
37 - Ευβοιας,20 E.T. Δήμου Διρφύων - Μεσσαπίων,464,336,7,1,8,328,104,35,8,31,40,4,17,7,11,38,6,11,0,6,15,5,3,7,102,2,21,88,5,1,0,6,3,13,0,1,3,6,1,4,2,1,15,7,2,4,1,1,1,0,2,5,2,2,1,0,0,0,0,0,6,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,1,2,0,11,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,3,3,1,0,8,8,9,9,0,0,4,1
37 - Ευβοιας,21 E.T. Δήμου Διρφύων - Μεσσαπίων,468,343,10,0,10,333,103,35,10,25,34,4,40,4,6,38,12,6,1,4,14,5,6,11,112,4,41,93,2,1,0,12,0,23,3,2,1,14,0,8,0,3,9,1,2,0,0,0,7,0,1,2,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,3,1,2,0,0,4,1,3,1,9,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,2,1,2,1,1,1,0,0,0,0,0,0,0,9,8,9,9,1,1,3,1
37 - Ευβοιας,22 E.T. Δήμου Διρφύων - Μεσσαπίων,479,318,6,1,7,311,86,31,5,19,27,1,27,9,4,55,7,14,1,4,20,3,1,23,100,6,29,85,2,2,4,7,0,8,2,3,1,4,0,3,1,1,12,5,1,3,1,2,1,0,2,2,0,0,0,0,0,1,0,0,7,1,1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,8,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,2,1,0,0,1,1,4,2,2,1,1,0,0,0,0,1,1,3,2,11,11,0,0,7,2
37 - Ευβοιας,23 E.T. Δήμου Διρφύων - Μεσσαπίων,474,335,10,1,11,324,93,32,4,30,38,7,32,10,4,70,23,14,2,6,37,9,7,14,84,5,29,74,2,2,1,8,1,12,0,0,2,4,1,2,1,0,10,4,2,1,1,1,2,0,2,9,1,4,2,3,0,2,0,0,1,0,0,1,0,0,0,0,0,0,4,0,1,1,0,0,0,1,0,0,1,1,2,1,0,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,2,2,5,3,1,0,2,2,0,0,0,2,1,3,3,3,2,2,0,0,2,1,0,0,2,2,10,10,0,0,3,1
37 - Ευβοιας,24 E.T. Δήμου Διρφύων - Μεσσαπίων,481,322,3,3,6,316,85,18,7,22,32,1,42,5,4,60,12,7,1,9,27,2,1,10,110,6,37,103,1,4,3,5,1,17,1,0,2,10,1,4,0,1,9,4,2,0,0,2,4,0,1,3,2,0,1,0,2,1,0,0,5,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,3,2,0,0,8,8,3,3,0,0,3,0
37 - Ευβοιας,25 E.T. Δήμου Διρφύων - Μεσσαπίων,468,283,5,2,7,276,69,25,6,14,22,1,19,4,7,43,15,11,7,7,19,4,2,5,77,5,25,66,2,7,2,7,1,17,1,0,2,9,0,7,1,2,24,11,3,8,0,2,1,0,3,5,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,1,0,4,2,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,4,3,2,2,5,5,9,9,0,0,5,0
37 - Ευβοιας,26 E.T. Δήμου Διρφύων - Μεσσαπίων,471,323,4,1,5,318,102,28,6,39,40,8,25,10,7,56,11,13,2,7,29,5,2,8,96,8,21,77,2,4,2,19,3,13,4,1,3,4,0,4,1,1,14,8,2,4,0,0,4,2,2,4,2,1,1,0,0,1,1,1,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,3,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,0,2,1,2,2,2,2,13,13,2,1,5,1
37 - Ευβοιας,27 E.T. Δήμου Διρφύων - Μεσσαπίων,463,308,4,1,5,303,118,30,9,33,39,5,47,6,9,38,10,8,0,5,13,5,5,8,87,6,22,72,2,5,2,8,3,10,3,1,4,2,0,2,2,2,9,2,0,3,0,1,5,1,2,4,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,3,2,1,2,0,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,2,2,0,0,5,4,4,0,0,0,0,2,2,4,2,8,8,0,0,5,0
37 - Ευβοιας,28 E.T. Δήμου Διρφύων - Μεσσαπίων,424,282,2,1,3,279,81,28,5,22,37,6,21,5,4,46,7,11,0,4,19,5,5,12,73,3,18,67,1,3,1,7,2,12,2,0,7,5,0,4,0,2,5,2,0,0,1,2,2,0,0,7,0,1,3,0,0,2,1,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,2,3,1,2,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,3,3,2,0,0,1,0,1,1,9,9,13,13,3,0,4,2
37 - Ευβοιας,29 E.T. Δήμου Διρφύων - Μεσσαπίων,197,146,0,1,1,145,25,9,1,1,16,1,4,3,4,24,6,3,0,3,6,3,1,7,33,5,14,25,0,7,0,0,0,43,0,0,0,41,0,31,0,1,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,1,1,1,8,8,1,0,1,2
37 - Ευβοιας,30 E.T. Δήμου Διρφύων - Μεσσαπίων,210,133,4,1,5,128,49,16,10,3,20,3,17,9,4,20,5,5,1,2,8,6,0,3,29,4,10,24,0,4,0,8,0,8,2,0,1,5,0,4,2,0,2,2,0,1,0,0,1,0,0,3,1,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,9,0,0,4,1
37 - Ευβοιας,31 E.T. Δήμου Διρφύων - Μεσσαπίων,456,306,7,2,9,297,95,45,5,5,35,6,35,5,14,49,10,14,2,3,32,4,2,11,59,11,23,23,1,9,7,16,1,37,3,2,2,17,0,32,7,2,10,7,3,1,1,2,2,1,1,5,1,2,3,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,3,0,3,0,9,7,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,3,2,1,0,0,2,0,0,0,1,0,12,12,0,0,4,4
37 - Ευβοιας,32 E.T. Δήμου Διρφύων - Μεσσαπίων,88,69,0,0,0,69,16,5,0,4,11,0,4,0,2,15,3,5,0,0,10,0,1,5,31,3,9,28,0,1,1,4,3,2,0,0,0,2,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37 - Ευβοιας,33 E.T. Δήμου Διρφύων - Μεσσαπίων,475,309,8,0,8,301,108,35,3,12,39,10,29,12,3,57,24,16,5,2,15,2,0,13,47,7,12,29,5,3,0,7,3,16,3,2,0,5,1,5,2,3,23,11,3,10,0,2,3,1,2,7,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5,1,3,0,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,4,2,0,0,0,0,0,0,0,4,4,1,0,1,1,1,0,0,1,1,1,0,1,0,14,14,0,0,5,1
37 - Ευβοιας,34 E.T. Δήμου Διρφύων - Μεσσαπίων,454,232,8,1,9,223,62,18,5,14,18,7,23,5,4,65,7,12,3,3,10,17,10,31,46,2,12,32,1,2,1,7,2,12,1,0,2,5,0,6,1,2,7,2,2,0,1,0,0,1,2,5,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,7,7,0,2,2,2
37 - Ευβοιας,35 E.T. Δήμου Διρφύων - Μεσσαπίων,444,287,5,2,7,280,89,25,5,9,30,8,27,8,4,78,6,10,3,2,29,16,5,30,46,1,19,37,1,1,1,7,0,27,1,0,0,13,1,18,0,0,7,2,2,0,1,2,1,0,2,7,2,3,1,1,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,3,0,8,8,0,1,1,1
37 - Ευβοιας,36 E.T. Δήμου Διρφύων - Μεσσαπίων,447,229,7,0,7,222,70,12,4,17,31,17,50,5,4,66,3,3,2,4,13,13,24,12,39,4,14,29,1,14,0,15,1,15,2,1,0,8,0,10,1,4,4,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,2,1,2,2,2,0,0,0,0,1,0,1,1,5,5,0,0,2,2
37 - Ευβοιας,37 E.T. Δήμου Διρφύων - Μεσσαπίων,284,217,2,2,4,213,89,25,3,13,31,3,37,4,2,14,2,7,0,1,9,0,1,3,60,10,20,40,8,8,0,10,2,3,0,0,1,0,0,2,1,0,10,3,0,5,0,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,5,4,0,0,1,0,4,2,1,1,1,0,0,3,1,1,1,0,0,0,1,0,0,0,10,10,0,0,7,1
37 - Ευβοιας,38 E.T. Δήμου Διρφύων - Μεσσαπίων,157,98,1,0,1,97,29,13,3,2,7,1,8,5,3,26,13,5,0,8,5,3,3,3,22,4,8,15,1,0,1,6,3,6,1,0,2,0,0,4,1,3,4,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0
37 - Ευβοιας,39 E.T. Δήμου Διρφύων - Μεσσαπίων,25,12,0,0,0,12,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,4,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37 - Ευβοιας,40 E.T. Δήμου Διρφύων - Μεσσαπίων,421,294,5,4,9,285,95,53,4,9,31,11,34,3,2,60,12,22,0,6,29,5,4,9,61,28,19,33,1,3,0,6,1,14,0,1,9,1,0,8,2,3,20,4,2,6,0,2,1,0,4,5,3,1,1,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,0,2,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,1,0,0,0,0,8,8,0,0,6,1
37 - Ευβοιας,41 E.T. Δήμου Διρφύων - Μεσσαπίων,419,312,10,3,13,299,106,50,3,12,44,7,41,4,5,55,12,6,0,3,27,6,2,9,60,19,24,31,1,2,0,8,1,33,5,5,6,10,1,10,2,9,11,7,1,3,0,2,2,0,0,3,2,2,1,0,0,0,0,1,1,1,0,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,3,0,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,15,15,1,0,9,2
37 - Ευβοιας,42 E.T. Δήμου Διρφύων - Μεσσαπίων,475,297,5,3,8,289,116,54,19,11,37,9,42,5,2,50,5,10,3,5,23,7,4,7,46,9,12,29,3,6,0,3,2,24,2,1,4,5,0,12,1,7,8,3,1,1,1,2,1,0,1,7,1,1,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,7,3,4,3,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,17,17,3,0,3,3
37 - Ευβοιας,43 E.T. Δήμου Διρφύων - Μεσσαπίων,101,56,0,0,0,56,15,6,0,4,8,0,4,0,0,11,0,4,1,1,3,1,2,3,22,4,6,19,2,5,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
