ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΥΛΩΝΙΤΗ ΑΓΓΕΛΙΚΗ του Γεωργίου,ΓΚΙΚΑΣ ΣΤΕΦΑΝΟΣ του Σωτηρίου,ΚΑΡΥΔΗ ΕΥΑΓΓΕΛΙΑ (ΕΥΑ) του Σπυρίδωνος,ΚΡΟΚΙΔΗΣ ΣΠΥΡΙΔΩΝ του Αλεξάνδρου,ΣΠΥΡΟΥ ΑΓΓΕΛΟΣ του Σπυρίδωνος,ΣΥΡΙΖΑ,ΑΥΛΩΝΙΤΗΣ ΑΛΕΞΑΝΔΡΟΣ - ΧΡΗΣΤΟΣ του Νικολάου,ΓΟΝΙΔΗ-ΔΡΑΖΙΝΟΥ ΜΑΡΙΑ του Φραγκίσκου,ΚΑΛΟΥΔΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΠΑΓΚΡΑΤΗ ΕΛΕΝΗ - ΔΩΡΟΘΕΑ του Στεφάνου,ΠΑΝΔΗ ΝΙΚΟΛΕΤΤΑ του Κωνσταντίνου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΔΡΥ ΜΑΡΙΑ του Γεωργίου,ΚΛΗΜΗΣ ΝΙΚΗΦΟΡΟΣ του Κωνσταντίνου,ΚΟΥΛΟΥΡΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΜΠΙΑΓΚΗΣ ΔΗΜΗΤΡΙΟΣ του Σπυρίδωνος,ΠΕΤΣΙΟΥ ΒΑΣΙΛΙΚΗ (ΛΙΛΑ) του Ιωάννη,Κ.Κ.Ε.,ΚΕΛΑΝΔΡΙΑΣ ΠΑΝΑΓΙΩΤΗΣ του Ιωάννη,ΚΟΥΛΟΥΡΗΣ ΓΕΩΡΓΙΟΣ του Αλέξανδρου,ΜΠΑΛΟΥ ΑΛΕΞΑΝΔΡΑ του Αριστείδη,ΠΕΛΑΗΣ ΙΩΑΝΝΗΣ του Σπυρίδωνα,ΧΑΡΑΛΑΜΠΟΥΣ ΜΥΡΣΙΝΗ του Χαράλαμπου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΑΛΣΑΜΟΣ ΧΑΡΑΛΑΜΠΟΣ του Νικολάου,ΓΑΡΔΙΚΙΩΤΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΚΑΚΑΡΟΥΓΚΑ ΕΛΕΝΗ ΜΑΡΙΑ ΒΙΚΤΩΡΙΑ του Μεθοδίου Ιακώβου,ΜΠΑΛΩΜΕΝΟΣ ΓΑΣΠΑΡΗΣ του Γεωργίου,ΣΟΥΡΛΑ ΒΑΡΒΑΡΑ του Σταύρου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΛΕΞΑΚΗ ΕΥΑΓΓΕΛΙΑ (ΛΙΤΣΑ) του Νικολάου,ΑΡΜΕΝΙΑΚΟΣ ΣΠΥΡΙΔΩΝ (ΒΙΤΟΣ) του Γεωργίου,ΓΕΩΡΓΑΤΟΣ ΙΩΣΗΦ του Σπυρίδωνα,ΚΑΒΒΑΔΙΑΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΚΟΝΤΙΝΗ ΑΓΓΕΛΙΝΑ του Ευγένιου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΒΛΑΧΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΚΩΣΤΕΛΕΤΟΥ ΑΙΚΑΤΕΡΙΝΗ του Κωνσταντίνου,Κ.Κ.Ε. (μ-λ),ΚΟΤΡΩΝΟΥΛΑΣ ΓΡΗΓΟΡΙΟΣ του Δημητρίου,Ο.Κ.Δ.Ε.,ΓΚΟΥΡΔΟΥΚΗ ΜΑΡΙΑ του Σπυρίδωνος,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΡΑΣΑΚΗΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,ΛΙΑΜΠΟΤΗ ΑΝΑΣΤΑΣΙΑ του Σωτηρίου,ΛΙΜΠΕΡΑΤΟΣ ΓΕΩΡΓΙΟΣ ΘΕΟΧΑΡΗΣ του Παναγή,ΝΙΚΟΛΙΤΣΑ ΒΑΣΙΛΙΚΗ του Κωνσταντίνου,ΤΣΑΜΗΣ ΧΡΗΣΤΟΣ του Σάββα,Κίνημα 21,ΛΟΥΚΑΣ ΓΕΩΡΓΙΟΣ του Σπυρίδων,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΘΕΟΛΟΓΗΣ ΑΘΑΝΑΣΙΟΣ του Χαράλαμπου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΚΑΡΑΟΥΖΑ ΒΑΣΙΛΙΚΗ του Σωτηρίου,ΡΩΣΣΗΣ ΣΠΥΡΟΣ ΓΕΡΑΣΙΜΟΣ του Κωνσταντίνου,ΤΖΗΜΕΡΟΥ ΕΡΜΙΟΝΗ του Ηλία,ΝΙΚΗ,ΚΑΡΑΒΙΔΑΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΡΙΚΟΥ ΕΛΕΝΗ- ΣΟΦΙΑ του Σπυρίδωνος,ΤΣΟΥΓΑΝΑΤΟΣ ΓΕΩΡΓΙΟΣ του Αθανασίου,κοινωνία αξιών,ΠΕΤΡΙΤΣΟΠΟΥΛΟΥ ΚΛΕΟΝΙΚΗ (ΝΙΚΗ) του Θεοδώρου - Κωνσταντίνου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΜΕΛΑΝΤΙΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,Ο.Α.Κ.Κ.Ε.,ΔΑΛΙΕΤΟΥ ΘΕΟΔΩΡΑ του Μιχαήλ,Μ-Λ Κ.Κ.Ε.,ΤΣΙΡΙΓΩΤΗΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,Ελλήνων Συνέλευσις,ΒΑΣΙΛΑΚΗΣ ΣΤΥΛΙΑΝΟΣ του Νικολάου,ΒΕΡΓΗΣ ΑΛΕΞΑΝΔΡΟΣ του Σπυρίδων,ΔΑΣΚΑΛΙΕΡΟΣ ΕΥΓΕΝΙΟΣ του Λεωνίδα,ΛΑΔΟΒΡΕΧΗ ΑΙΚΑΤΕΡΙΝΗ του Σπυρίδων,ΠΑΛΑΙΟΧΩΡΙΤΗ ΕΥΣΤΑΘΙΑ του Δημοσθένη,Ένωση Κεντρώων,ΒΑΡΑΓΓΟΥΛΗ ΑΝΤΩΝΙΑ - ΕΛΕΝΗ του Δημητρίου,ΚΑΒΑΔΕΛΛΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΛΑΛΑΠΑΝΟΣ ΝΙΚΟΛΑΟΣ του Σπυρίδωνα,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΒΑΣΙΛΑΚΗΣ ΒΑΓΓΕΛΗΣ του Δημητρίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΒΛΑΧΟΣ ΕΥΑΓΓΕΛΟΣ του Νικολάου,ΚΕΦΑΛΛΩΝΙΤΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΛΙΝΑΡΔΟΥ ΚΛΕΙΩ του Κωνσταντίνου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΤΟΛΗΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,Κ.Ο.Τ.Ε.Σ.,ΛΟΥΒΡΟΣ ΒΑΣΙΛΕΙΟΣ-ΡΩΜΑΝΟΣ του Νικολάου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΓΕΡΟΜΕΡΙΑΤΗ ΜΑΡΙΑ του Δημητρίου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΘΥΜΗΣ ΣΠΥΡΙΔΩΝ του Αλεξίου,ΠΙΚΟΥΛΑ ΧΡΙΣΤΙΝΑ του Δημητρίου,ΕΑΝ...,ΧΡΥΣΙΚΟΠΟΥΛΟΥ ΑΙΚΑΤΕΡΙΝΗ (ΧΑΪΔΩ) του Χριστοφόρου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΜΠΡΙΛΑΚΗ ΕΛΕΥΘΕΡΙΑ του Ευαγγέλου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΒΟΥΡΛΗ ΚΩΛΕΤΤΗ ΒΑΣΙΛΙΚΗ του Αναργύρου,ΓΕΩΡΓΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ - ΣΠΥΡΙΔΩΝ του Νικολάου,ΖΕΡΒΟΥ ΑΡΕΤΟΥΣΑ (ΑΡΕΤΗ) του Γεωργίου
26 - Κέρκυρας,19 E.T. Δήμου Βόρειας Κέρκυρας,287,266,1,1,2,264,124,15,70,2,9,21,57,24,9,9,5,8,27,4,1,0,18,2,15,0,2,8,2,2,8,4,1,0,0,0,9,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,9,2,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,1,0,6,0,3,2
26 - Κέρκυρας,20 E.T. Δήμου Βόρειας Κέρκυρας,436,250,3,1,4,246,140,7,94,1,22,13,34,12,4,9,1,7,30,8,1,0,18,1,15,0,3,6,1,4,7,1,2,1,0,1,9,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
26 - Κέρκυρας,21 E.T. Δήμου Βόρειας Κέρκυρας,427,252,2,1,3,249,137,10,96,1,14,14,29,19,2,3,0,2,32,10,0,0,14,3,8,0,0,3,1,2,9,2,3,0,0,1,11,4,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,2,0,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,2,1,0,0,1,0,1,1,1,0,0,3,0,2,0
26 - Κέρκυρας,22 E.T. Δήμου Βόρειας Κέρκυρας,311,184,0,0,0,184,28,0,16,2,5,4,28,11,2,3,1,6,20,0,0,0,19,1,65,1,3,44,0,12,6,4,0,0,0,0,8,2,0,0,0,1,3,2,1,1,1,0,0,1,0,0,0,0,0,5,5,0,0,0,0,0,0,9,1,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,5,1,2,0
26 - Κέρκυρας,23 E.T. Δήμου Βόρειας Κέρκυρας,443,244,8,1,9,235,73,10,31,0,13,15,60,45,7,3,0,2,38,5,0,2,23,3,24,0,0,15,1,4,10,4,1,1,0,0,4,0,1,0,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,0,2,0,3,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,1,1,1,0,1,1,0,0,0,3,2,2,2,3,0,3,0
26 - Κέρκυρας,24 E.T. Δήμου Βόρειας Κέρκυρας,407,236,4,0,4,232,75,14,35,1,7,12,58,40,3,7,2,2,24,10,0,4,10,0,26,1,1,15,2,6,7,1,1,0,1,1,10,1,1,3,3,0,2,0,2,0,0,0,0,2,1,0,0,0,0,2,1,1,1,1,1,0,0,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,1,0,0,8,3,4,1
26 - Κέρκυρας,25 E.T. Δήμου Βόρειας Κέρκυρας,409,234,3,2,5,229,65,5,38,3,7,6,68,29,10,5,2,5,34,2,0,2,25,3,27,0,1,9,2,2,5,2,1,1,0,0,12,2,0,1,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,3,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0
26 - Κέρκυρας,26 E.T. Δήμου Βόρειας Κέρκυρας,322,161,1,0,1,160,60,10,34,0,7,8,36,16,3,3,10,1,23,10,0,3,8,0,7,0,0,2,2,2,12,5,3,0,0,1,4,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,1,1,0,0,0,0,0,0,8,0,5,2
26 - Κέρκυρας,27 E.T. Δήμου Βόρειας Κέρκυρας,331,167,2,0,2,165,53,3,28,4,7,4,31,7,1,7,3,3,24,1,0,0,19,3,33,0,3,14,4,10,6,1,2,2,0,0,3,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,2,1
26 - Κέρκυρας,28 E.T. Δήμου Βόρειας Κέρκυρας,322,204,2,0,2,202,79,17,37,2,8,6,38,9,5,9,3,4,29,4,1,0,20,1,22,1,0,10,8,0,6,2,3,0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,4,0,2,1,1,1,1,0,0,0,0,0,0,1,1,2,2,8,2,2,1
26 - Κέρκυρας,29 E.T. Δήμου Βόρειας Κέρκυρας,321,180,6,0,6,174,77,8,45,0,8,12,27,12,4,2,0,2,22,0,2,0,13,1,20,1,2,7,2,2,2,0,0,1,0,0,11,2,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,6,1,1,2
26 - Κέρκυρας,30 E.T. Δήμου Βόρειας Κέρκυρας,505,266,3,0,3,263,146,18,55,4,35,30,35,19,1,7,1,2,26,13,2,1,9,1,7,1,0,2,0,2,6,2,0,1,0,2,15,2,0,8,2,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,4,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,7,0,5,1
26 - Κέρκυρας,31 E.T. Δήμου Βόρειας Κέρκυρας,503,267,2,1,3,264,100,10,36,0,32,16,56,34,8,6,0,4,45,15,4,2,21,0,5,1,0,2,0,0,12,0,4,2,0,3,17,5,0,10,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,1,1,0,0,2,1,0,1,0,0,0,13,3,8,1
26 - Κέρκυρας,32 E.T. Δήμου Βόρειας Κέρκυρας,382,198,5,1,6,192,70,29,17,0,5,12,57,27,3,18,0,2,26,11,1,0,12,1,10,2,0,3,0,4,4,0,1,1,1,0,7,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,13,1,7,3
26 - Κέρκυρας,33 E.T. Δήμου Βόρειας Κέρκυρας,343,169,5,0,5,164,75,34,22,1,7,5,39,21,2,7,1,2,14,6,1,1,3,1,4,0,0,2,0,0,6,1,1,2,0,0,4,0,0,4,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,10,3,5,1
26 - Κέρκυρας,34 E.T. Δήμου Βόρειας Κέρκυρας,306,183,1,3,4,179,86,24,31,1,12,14,29,14,1,1,2,2,18,3,0,0,13,0,12,0,0,9,0,2,2,0,0,1,0,1,13,1,0,7,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,2,2,0,1,1,1,0,4,1,2,1
26 - Κέρκυρας,35 E.T. Δήμου Βόρειας Κέρκυρας,469,266,8,1,9,257,97,9,51,6,5,15,53,27,2,2,5,3,38,1,1,2,27,4,20,2,2,4,2,10,2,1,0,0,0,0,7,0,1,0,1,3,4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,7,2,0,2,1,1,2,1,0,0,2,1,1,0,0,0,0,14,4,6,3
26 - Κέρκυρας,36 E.T. Δήμου Βόρειας Κέρκυρας,461,261,1,2,3,258,59,5,24,4,8,6,68,20,8,10,5,7,44,2,2,2,30,4,25,0,1,9,8,6,10,3,1,2,1,1,10,3,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,3,0,1,0,0,0,0,0,1,0,0,1,1,1,2,1,2,1,4,2,1,1,1,4,2,12,3,4,0
26 - Κέρκυρας,37 E.T. Δήμου Βόρειας Κέρκυρας,321,169,2,0,2,167,57,3,24,2,11,10,27,7,5,5,0,5,35,2,2,0,24,1,22,2,1,11,1,6,3,2,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,8,1,4,1
26 - Κέρκυρας,38 E.T. Δήμου Βόρειας Κέρκυρας,313,177,7,1,8,169,61,6,27,2,9,7,42,14,7,7,3,6,29,1,1,1,23,1,7,0,0,0,2,3,5,3,1,0,0,0,8,2,0,0,1,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,3,2,1,1,0,0,0,0,0,3,2,2,0,2,0
26 - Κέρκυρας,39 E.T. Δήμου Βόρειας Κέρκυρας,434,281,3,1,4,277,65,8,21,4,5,8,40,13,6,6,4,3,102,1,0,2,97,0,16,1,0,5,1,6,11,4,0,2,1,2,7,0,0,0,2,0,8,2,4,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,2,7,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,8,0,3,1
26 - Κέρκυρας,40 E.T. Δήμου Βόρειας Κέρκυρας,312,183,5,1,6,177,64,2,29,5,5,13,33,8,5,6,1,5,44,4,0,2,36,0,4,0,0,2,1,0,5,3,1,0,0,0,11,1,0,0,1,8,5,0,5,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,3,1,1,0
26 - Κέρκυρας,41 E.T. Δήμου Βόρειας Κέρκυρας,256,145,3,2,5,140,51,2,23,1,10,9,20,1,2,8,0,5,41,1,0,0,38,2,8,0,1,0,1,4,4,2,1,0,0,0,6,1,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
26 - Κέρκυρας,42 E.T. Δήμου Βόρειας Κέρκυρας,499,306,8,1,9,297,76,5,35,2,10,14,41,21,6,3,2,6,78,1,1,1,71,1,56,3,3,31,2,11,8,2,3,2,0,0,4,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,2,2,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,12,4,5,2
26 - Κέρκυρας,43 E.T. Δήμου Βόρειας Κέρκυρας,522,330,11,1,12,318,49,2,34,0,2,5,60,17,8,4,9,7,101,8,2,4,86,0,64,1,3,39,1,10,6,1,3,0,0,0,7,1,0,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,3,1,1,1,0,0,0,0,1,1,12,0,6,2
26 - Κέρκυρας,44 E.T. Δήμου Βόρειας Κέρκυρας,268,158,3,2,5,153,57,3,34,4,6,5,32,9,4,9,2,2,31,1,1,0,27,1,13,0,0,5,3,4,4,0,1,0,0,0,3,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,5,0,3,1
26 - Κέρκυρας,45 E.T. Δήμου Βόρειας Κέρκυρας,468,278,3,1,4,274,102,11,48,4,14,15,47,16,3,16,1,4,43,2,0,0,39,0,19,0,1,3,2,12,9,2,1,2,0,0,11,2,2,1,0,4,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,6,1,3,1,1,1,0,0,2,1,0,0,0,0,1,1,2,0,1,0,1,0,1,0,0,0,1,0,5,2,0,2,0,0,1,1,0,0,1,1,0,0,0,4,2,13,1,5,4
26 - Κέρκυρας,46 E.T. Δήμου Βόρειας Κέρκυρας,343,161,5,2,7,154,67,5,31,2,11,14,28,6,5,2,3,6,29,3,1,4,19,0,7,1,0,1,1,1,1,0,0,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,3,1
26 - Κέρκυρας,47 E.T. Δήμου Βόρειας Κέρκυρας,487,256,10,0,10,246,105,7,52,7,23,9,44,17,5,10,3,2,46,0,1,2,39,3,4,0,0,1,0,0,10,3,2,1,0,0,5,2,0,1,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,3,0,3,0,5,0,3,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,3,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,4,3
26 - Κέρκυρας,48 E.T. Δήμου Βόρειας Κέρκυρας,300,161,1,1,2,159,51,2,31,0,5,9,32,8,6,12,0,2,14,3,0,2,4,4,19,0,2,5,2,1,5,2,1,1,0,0,3,0,0,0,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,4,4,1,0,13,0,10,1
26 - Κέρκυρας,49 E.T. Δήμου Βόρειας Κέρκυρας,449,263,7,2,9,254,130,10,63,10,21,16,33,9,2,11,2,2,21,4,0,1,12,2,16,1,0,5,2,3,7,5,0,0,1,1,2,1,0,1,0,0,4,3,0,1,1,1,1,1,1,0,0,0,0,4,3,1,0,2,0,0,2,10,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,3,2,1,0,1,0,3,2,3,3,0,0,0,1,1,1,1,6,1,2,1
26 - Κέρκυρας,50 E.T. Δήμου Βόρειας Κέρκυρας,434,263,7,1,8,255,129,12,61,9,21,20,43,16,3,16,2,5,27,6,3,2,12,2,22,1,1,4,1,6,4,0,2,0,0,1,4,0,1,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,2,2,0,0,0,0,1,1,0,0,4,0,3,0
26 - Κέρκυρας,51 E.T. Δήμου Βόρειας Κέρκυρας,424,239,3,6,9,230,111,4,59,6,13,21,32,8,7,7,2,1,47,13,1,6,17,1,6,1,0,2,1,2,4,0,3,1,0,0,13,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,1,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,2,2,0
26 - Κέρκυρας,52 E.T. Δήμου Βόρειας Κέρκυρας,388,243,18,3,21,222,90,13,42,3,10,16,35,13,1,13,0,3,23,4,2,1,11,1,7,0,1,6,0,0,9,3,1,1,0,1,12,0,5,2,1,2,9,3,5,2,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,13,3,4,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,10,3,3,1
26 - Κέρκυρας,53 E.T. Δήμου Βόρειας Κέρκυρας,320,163,6,1,7,156,62,5,31,5,7,14,34,13,2,12,3,4,26,9,0,2,14,1,2,0,0,1,0,0,7,2,1,1,0,2,6,1,0,1,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,5,1,3,0
26 - Κέρκυρας,54 E.T. Δήμου Κεντρικής Κέρκυρας και Διαποντίων Νήσων,399,193,6,2,8,185,59,1,45,0,2,8,40,12,6,9,2,6,24,6,0,4,10,2,16,0,1,1,1,12,5,1,1,0,0,0,9,0,4,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,3,3,0,0,0,0,0,1,1,0,0,16,0,16,0
