ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΓΙΑΝΝΟΥΛΟΥ ΚΑΛΛΙΟΠΗ του Ιωάννη,ΜΗΤΑΡΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ (ΝΟΤΗΣ) του Αντωνίου,ΤΡΟΜΠΟΥΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΤΣΑΠΗ ΜΑΡΚΕΛΛΑ του Κωνσταντίνου,ΣΥΡΙΖΑ,ΒΛΑΤΤΑ ΑΓΓΕΛΙΚΗ του Αργυρίου,ΜΙΧΑΗΛΙΔΗΣ ΑΝΔΡΕΑΣ του Φραγκούλη,ΝΕΑΜΟΝΙΤΑΚΗΣ ΜΑΡΙΟΣ του Στεργίου,ΠΕΙΡΑΝΤΑΚΟΥ ΣΕΒΑΣΤΗ του Ιωάννη,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΚΡΙΜΙΖΗΣ ΧΡΙΣΤΟΦΟΡΟΣ του Νικολάου,ΛΕΩΝΗ - ΚΩΣΤΑΝΤΟΥΛΑΚΗ ΜΑΡΙΑ του Στυλιανού,ΛΥΚΟΥ ΑΠΟΣΤΟΛΙΑ (ΛΙΤΣΑ) του Παντελή,ΜΙΧΑΗΛΙΔΗΣ ΣΤΑΥΡΟΣ του Γεωργίου,Κ.Κ.Ε.,ΑΜΠΑΖΗΣ ΓΕΩΡΓΙΟΣ του Ηλία,ΒΕΡΝΙΩΤΟΥ ΑΝΝΑ του Γεωργίου,ΚΥΡΙΤΣΗ ΑΓΛΑΪΑ του Λαζάρου,ΜΙΧΑΛΑΚΗΣ ΑΡΙΣΤΕΙΔΗΣ (ΑΡΗΣ) του Νικολάου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΥΤΑ ΣΟΥΛΤΑΝΑ του Κωνσταντίνου,ΜΙΧΑΛΑΣ ΑΛΕΞΑΝΔΡΟΣ του Παναγιώτη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΒΟΡΡΙΑΣ ΑΛΕΞΑΝΔΡΟΣ του Μιχαήλ,ΓΟΥΤΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΞΕΝΙΑΔΗ ΕΜΜΑΝΟΥΕΛΛΑ του Θεοδώρου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΓΟΥΡΝΗ ΧΡΥΣΟΥΛΑ του Παντελή,Κ.Κ.Ε. (μ-λ),ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΧΡΗΣΤΟΣ του Σπυρίδωνα,Ο.Κ.Δ.Ε.,ΚΑΛΑΝΤΖΗ ΕΒΙΝΑ του Νικολάου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΠΟΣΤΟΛΙΔΗΣ ΖΑΝΝΗΣ του Μικέ,Κίνημα 21,ΠΙΤΣΙΟΥ ΒΑΣΙΛΙΚΗ του Αθανασίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΔΗΜΑ ΚΑΛΛΙΟΠΗ του Κωνσταντίνου,ΣΚΑΠΙΝΑΚΗΣ ΘΕΟΔΩΡΟΣ ΟΡΕΣΤΗΣ του Γεωργίου,ΝΙΚΗ,ΣΠΑΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΣΤΕΦΑΝΟΥ ΕΙΡΗΝΗ του Αθανασίου,κοινωνία αξιών,ΠΑΧΝΟΣ ΓΕΩΡΓΙΟΣ του Όθωνος,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΚΟΥΡΛΗ ΕΛΕΥΘΕΡΙΑ του Θεοδώρου,ΤΣΙΡΟΣ ΝΙΚΟΛΑΟΣ του Χρήστου,Μ-Λ Κ.Κ.Ε.,ΣΤΑΥΡΙΔΟΥ ΧΡΥΣΟΥΛΑ του Ιωσήφ,Ελλήνων Συνέλευσις,ΑΠΟΣΤΟΛΑΚΗΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΚΕΦΑΛΑ ΜΑΡΙΑ του Κωνσταντίνου,ΠΑΠΑΔΗΜΗΤΡΗΣ ΙΩΑΝΝΗΣ του Μιχαήλ,Ένωση Κεντρώων,ΚΑΒΑΔΕΛΛΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΝΙΚΑΣ ΗΛΙΑΣ του Δημητρίου,ΦΩΚΑ ΠΑΝΑΓΙΩΤΑ του Αναστάσιου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΝΤΑΜΑΤΙΔΟΥ ΕΙΡΗΝΗ του Σταύρου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΑΝΑΣΤΑΣΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ του Κωνσταντίνου,ΚΑΣΤΕΡΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΖΑΦΕΙΡΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΤΑΟΥΣΑΝΗΣ ΓΕΩΡΓΙΟΣ του Κυριακου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΡΑΓΙΑΝΝΙΔΟΥ ΑΝΤΩΝΙΑ του Νικολάου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΜΕΡΙΚΑΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΝΑΤΣΗ ΣΟΦΙΑ του Ευάγγελου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΚΑΡΑΓΙΑΝΝΗΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΔΡΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ (ΓΙΑΓΚΟΣ) του Δημητρίου
49 - Χίου,18 E.T. Δήμου Χίου,122,32,0,0,0,32,20,3,10,6,1,3,1,2,0,0,6,5,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
49 - Χίου,19 E.T. Δήμου Χίου,64,22,0,0,0,22,6,1,4,0,1,2,1,1,0,0,8,1,0,1,6,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
49 - Χίου,20 E.T. Δήμου Χίου,158,56,0,1,1,55,30,8,14,6,0,9,0,6,1,1,4,2,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
49 - Χίου,21 E.T. Δήμου Χίου,121,43,1,1,2,41,22,5,10,5,0,6,0,2,0,0,11,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49 - Χίου,22 E.T. Δήμου Χίου,357,73,3,0,3,70,41,8,27,5,1,2,1,1,0,0,19,1,1,4,11,2,1,0,0,1,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
49 - Χίου,23 E.T. Δήμου Χίου,93,44,0,0,0,44,17,0,15,1,0,2,0,0,1,0,20,1,16,0,3,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49 - Χίου,24 E.T. Δήμου Χίου,135,50,0,0,0,50,27,6,9,11,0,5,0,2,0,0,9,3,0,0,6,2,0,0,0,1,1,0,1,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
49 - Χίου,25 E.T. Δήμου Χίου,151,35,0,1,1,34,20,5,9,6,0,1,0,0,0,0,9,1,0,0,8,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49 - Χίου,26 E.T. Δήμου Χίου,226,52,0,0,0,52,15,3,4,7,0,4,0,1,1,0,19,1,5,0,12,6,2,0,2,0,4,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49 - Χίου,27 E.T. Δήμου Χίου,165,57,1,1,2,55,27,7,12,2,0,2,0,0,0,1,18,4,1,2,10,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
49 - Χίου,28 E.T. Δήμου Χίου,417,241,1,3,4,237,101,3,65,23,2,30,3,20,2,1,57,13,0,14,23,14,3,1,7,1,8,3,2,6,0,1,4,1,0,2,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,1,0,0,1,1,3,3,3,1,1,0,0,4,3
49 - Χίου,29 E.T. Δήμου Χίου,431,237,6,3,9,228,96,13,53,19,4,38,6,24,2,2,28,8,1,8,5,27,4,3,13,0,4,0,4,6,2,1,2,2,1,0,0,0,0,1,0,1,1,1,0,1,4,3,1,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,0,3,1,0,1,1,2,0,1,1,1,0,1,0,0,8,4
49 - Χίου,30 E.T. Δήμου Χίου,422,194,4,2,6,188,91,11,57,11,2,34,2,16,3,4,28,7,0,4,13,12,4,3,1,2,4,0,1,7,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1,0,2,1
49 - Χίου,31 E.T. Δήμου Χίου,239,171,3,0,3,168,102,15,67,1,1,15,0,7,3,5,18,5,1,2,10,14,1,1,7,1,3,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,7,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
49 - Χίου,32 E.T. Δήμου Χίου,87,36,0,0,0,36,8,1,6,0,0,6,0,2,3,1,12,4,0,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
49 - Χίου,33 E.T. Δήμου Χίου,428,162,2,1,3,159,82,19,29,22,1,18,1,10,2,0,26,8,4,0,7,9,3,2,3,0,3,2,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,1,1,2,0,0,1,0,2,0
49 - Χίου,34 E.T. Δήμου Χίου,422,145,0,2,2,143,85,12,41,24,1,4,0,2,1,1,21,7,3,5,5,10,2,2,6,0,8,2,2,0,0,0,0,2,2,0,0,0,0,1,1,1,1,0,0,0,5,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,1,1
49 - Χίου,35 E.T. Δήμου Χίου,441,168,0,2,2,166,84,16,35,30,0,10,5,0,1,0,37,12,3,12,8,20,5,4,5,4,1,0,1,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,2,1
49 - Χίου,36 E.T. Δήμου Χίου,460,251,3,0,3,248,112,25,63,15,1,24,2,9,6,3,62,20,1,15,22,23,6,2,11,2,3,0,2,1,0,0,1,3,3,1,1,0,0,0,0,3,2,0,0,0,3,2,0,0,0,0,0,0,1,1,2,0,2,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,5,3
49 - Χίου,37 E.T. Δήμου Χίου,172,110,1,2,3,107,57,8,36,6,1,10,1,6,0,1,18,2,3,6,5,5,0,1,1,0,10,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49 - Χίου,38 E.T. Δήμου Χίου,312,154,2,2,4,150,70,23,35,9,0,17,0,8,1,0,31,20,0,4,5,10,5,1,4,0,3,2,0,4,2,1,0,7,6,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1
49 - Χίου,39 E.T. Δήμου Χίου,133,51,3,0,3,48,20,2,12,4,1,5,1,3,0,0,13,4,1,3,4,2,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
