ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΓΙΩΡΓΟΣ ΙΩΑΝΝΗΣ του Αγγελή,ΚΑΡΑΝΑΣΙΟΣ ΕΥΘΥΜΙΟΣ του Βασιλείου,ΛΑΘΟΥΡΗ-ΠΑΡΓΑ ΜΑΡΙΑ του Σπυρίδωνος,ΜΥΛΩΝΑ ΖΑΦΕΙΡΟΥΛΑ του Δημητρίου,ΤΑΣΙΟΣ ΓΡΗΓΟΡΙΟΣ του Γεωργίου,ΣΥΡΙΖΑ,ΖΑΧΟΥ ΕΛΕΝΗ του Βασιλείου,ΙΓΓΛΕΖΗ ΑΙΚΑΤΕΡΙΝΗ του Θεοδώρου,ΜΑΛΑΜΑ ΚΥΡΙΑΚΗ του Ιωάννη,ΜΟΥΛΑΓΙΑΝΝΙΟΣ ΛΕΩΝΙΔΑΣ του Κωνσταντίνου,ΦΩΤΑΚΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΚΑΝΕΛΗΣ ΑΝΑΣΤΑΣΙΟΣ (ΤΑΣΟΣ) του Αριστείδη,ΚΑΤΣΑΡΟΥ ΑΝΝΑ του Χρήστου,ΜΑΝΤΣΙΟΣ ΑΘΑΝΑΣΙΟΣ του Χρήστου,ΠΑΝΑΣ ΑΠΟΣΤΟΛΟΣ του Νικολάου,ΤΑΡΚΑΣΗ ΒΑΡΒΑΡΑ του Αθανασίου,Κ.Κ.Ε.,ΑΔΑΜΙΔΟΥ ΜΑΡΙΑ του Ευαγγέλου,ΛΥΡΤΖΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΜΑΝΩΛΗΣ ΕΜΜΑΝΟΥΗΛ του Ελευθερίου,ΠΑΝΤΕΛΗΣ ΛΑΖΑΡΟΣ του Αστέριου,ΧΡΙΣΤΙΑΝΟΥ ΑΓΓΕΛΙΚΗ του Νικολάου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΩΝΣΤΑΝΤΙΝΟΥΔΗΣ ΝΙΚΟΛΑΟΣ του Κλεάνθη,ΛΑΜΠΑΔΑΚΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,ΤΣΑΛΑΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΦΑΦΟΥΤΗΣ ΛΑΜΠΡΟΣ του Ηλία,ΧΑΤΖΗΓΙΑΝΝΙΔΟΥ ΠΑΝΑΓΙΩΤΑ του Χρήστου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΓΕΡΑΚΗΣ ΓΕΩΡΓΙΟΣ του Χριστόδουλου,ΓΡΑΣΣΟΥ ΚΑΛΛΙΡΡΟΗ (ΗΡΩ) του Γεωργίου,ΣΟΦΤΣΗ ΜΑΡΙΑ του Βασιλείου,ΤΡΙΑΝΤΑΦΥΛΛΟΥ ΜΙΛΤΙΑΔΗΣ (ΜΙΛΤΟΣ) του Μιχαήλ,ΧΟΥΧΟΥΤΑΣ ΝΙΚΗΤΑΣ του Αθανασίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΡΑΣΤΑΝΑΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,ΠΑΠΑΪΩΑΝΝΟΥ ΠΑΡΑΣΚΕΥΗ του Χρήστου,Κ.Κ.Ε. (μ-λ),ΓΕΩΡΓΟΥΔΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,Ο.Κ.Δ.Ε.,ΑΝΤΩΝΙΟΥ ΣΤΕΡΓΙΑΝΗ του Μιχαήλ,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΛΑΧΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΣΟΥΝΔΟΥΛΟΥΝΑΚΗ ΙΩΑΝΝΑ του Νικολάου,ΤΑΤΑΛΑΣ ΠΕΤΡΟΣ του Κωνσταντίνου,Κίνημα 21,ΜΟΥΣΤΑΚΑ ΣΟΦΙΑ του Ιερόθεου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΒΑΓΓΛΗΣ ΑΣΤΕΡΙΟΣ (ΣΤΕΡΓΙΟΣ) του Αγγέλου,ΜΙΓΚΟΥ ΠΑΝΑΓΙΩΤΑ ΛΗΤΩ του Θωμά,ΠΑΠΑΠΑΝΑΓΙΩΤΟΥ ΝΙΚΟΛΑΟΣ του Σαραφιανού,ΝΙΚΗ,ΓΙΑΝΝΑΚΟΠΟΥΛΟΥ ΝΙΚΟΛΙΤΣΑ του Σπυρίδωνα,ΖΑΡΤΑΛΟΥΔΗΣ ΖΩΗΣ του Δημητρίου,ΣΤΑΜΑΤΟΠΟΥΛΟΥ ΕΥΓΕΝΙΑ του Μιχαήλ,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,ΚΟΥΚΑ ΑΝΝΑ του Βασιλείου,κοινωνία αξιών,ΓΟΥΣΙΟΣ ΓΡΗΓΟΡΙΟΣ του Μιλτιάδου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΑΓΚΟΡΤΖΟΣ ΝΙΚΟΛΑΟΣ του Γεώργιου,ΚΑΡΑΝΤΩΝΗ ΑΝΑΣΤΑΣΙΑ του Κωνσταντίνου,ΡΕΒΕΝΙΚΙΩΤΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,Ο.Α.Κ.Κ.Ε.,ΖΑΦΕΙΡΟΠΟΥΛΟΣ ΗΛΙΑΣ του Γεωργίου,Μ-Λ Κ.Κ.Ε.,ΡΑΠΤΗΣ ΓΕΩΡΓΙΟΣ του Χρήστου,Ελλήνων Συνέλευσις,ΑΛΕΥΡΑΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΜΟΥΣΤΑΚΑ ΜΑΡΙΑ του Παναγιώτη,ΣΑΡΗΓΙΑΝΝΙΔΗΣ ΑΛΚΗΣ του Χρήστου,Ένωση Κεντρώων,ΗΛΙΑΔΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΔΗΜΗΤΡΑ του Νικολάου,ΤΣΙΦΤΣΗΣ ΧΡΗΣΤΟΣ του Μιχαήλ,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΛΙΜΕΝΟΠΟΥΛΟΣ ΣΤΑΥΡΟΣ ΙΟΡΔΑΝΗΣ του Βασιλείου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΑΡΧΟΝΤΟΠΟΥΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Αντωνίου,ΚΑΡΑΜΙΧΑΛΗΣ ΙΩΑΝΝΗΣ - ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΛΟΓΓΙΝΙΔΗΣ ΙΩΑΝΝΗΣ του Λογγίνου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΑΡΑΝΤΩΝΑΣ ΑΣΤΕΡΙΟΣ του Δημητρίου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΓΚΕΤΣΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΜΠΑΚΡΑΤΣΑΣ ΜΕΝΕΛΑΟΣ του Στάμου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΧΑΤΖΗΙΩΑΝΝΟΥ ΕΥΦΡΟΣΥΝΗ του Γεωργίου,Οικολόγοι Πράσινοι,ΦΑΦΟΥΤΑΚΗ ΟΛΓΑ ΔΙΑΜΑΝΤΩ του Παύλου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Παύλου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΡΕΝΤΟΣ ΓΕΩΡΓΙΟΣ του Πέτρου
9 - Χαλκιδικής,18 E.T. Δήμου Αριστοτέλη,531,350,13,0,13,337,147,34,43,6,11,36,55,1,16,22,1,3,53,0,10,0,35,3,7,4,1,1,0,1,24,8,3,4,1,1,9,0,3,0,1,1,7,1,5,0,0,0,0,6,6,0,0,0,0,0,0,0,0,10,0,6,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,2,1,0,0,0,0,3,1,2,1,7,3
9 - Χαλκιδικής,19 E.T. Δήμου Αριστοτέλη,529,373,7,3,10,363,125,19,42,6,10,36,73,5,21,25,0,8,62,4,10,3,37,4,25,10,0,6,0,3,21,5,2,2,1,1,11,3,1,0,1,0,4,0,3,0,0,0,0,1,1,0,0,3,2,0,0,0,0,17,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,2,1,1,0,1,1,2,0,12,5
9 - Χαλκιδικής,20 E.T. Δήμου Αριστοτέλη,533,366,6,2,8,358,110,26,33,5,12,24,68,8,12,27,1,8,64,2,13,5,38,4,22,3,2,7,2,1,20,10,1,1,0,2,12,3,2,2,2,1,10,3,6,1,1,0,0,3,2,0,0,2,2,3,0,1,2,19,4,6,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,3,1,1,0,2,2,1,1,0,0,11,7
9 - Χαλκιδικής,21 E.T. Δήμου Αριστοτέλη,549,365,5,3,8,357,143,32,51,4,16,29,69,7,15,26,0,15,51,3,11,0,29,3,11,3,0,4,1,0,18,6,1,5,1,0,8,5,1,0,1,1,16,3,12,0,0,0,0,0,0,0,0,2,1,0,0,0,0,16,0,9,4,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,2,0,0,0,1,0,3,1,0,1,0,0,4,2,1,1,0,0,0,0,2,2,7,4
9 - Χαλκιδικής,22 E.T. Δήμου Αριστοτέλη,539,396,6,3,9,387,145,23,48,5,18,29,66,15,13,24,0,3,77,4,18,2,42,4,14,2,1,6,0,1,15,3,3,1,0,1,7,0,0,3,1,0,10,0,9,0,0,0,0,1,1,0,0,0,0,4,2,2,0,12,2,4,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,3,1,1,0,0,0,3,1,0,1,0,0,1,1,2,1,1,0,4,2,3,2,16,9
9 - Χαλκιδικής,23 E.T. Δήμου Αριστοτέλη,507,301,10,2,12,289,130,48,35,2,8,23,38,9,3,15,0,1,40,2,13,0,17,1,11,2,0,3,0,1,17,7,1,0,0,0,5,0,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,3,0,2,0,14,5,4,3,0,0,1,0,3,0,0,1,1,1,0,0,2,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,3,1,1,0,3,2,1,0,10,5
9 - Χαλκιδικής,24 E.T. Δήμου Αριστοτέλη,363,214,3,0,3,211,88,37,9,3,1,36,35,3,8,11,1,0,27,2,3,1,15,1,10,1,1,3,0,0,12,5,0,1,0,3,8,1,0,4,1,1,0,0,0,0,0,0,0,2,1,1,0,1,1,1,0,0,1,14,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,4,1,0,0,5,5
9 - Χαλκιδικής,25 E.T. Δήμου Αριστοτέλη,330,202,4,0,4,198,114,57,6,2,4,42,20,7,7,2,0,2,23,0,2,0,20,0,6,0,1,2,0,1,7,5,0,0,0,0,5,2,2,1,0,0,1,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,1,0,1,0,0,0,2,0,1,1,1,1,2,1,0,0,7,5
9 - Χαλκιδικής,26 E.T. Δήμου Αριστοτέλη,496,343,5,6,11,332,129,92,11,2,3,15,96,4,50,27,0,1,32,1,8,0,20,1,14,3,4,5,0,1,12,5,2,1,0,1,7,0,1,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,11,3,4,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,1,0,0,1,1,0,2,1,1,0,0,0,2,1,0,0,2,2,4,3,3,3,9,7
9 - Χαλκιδικής,27 E.T. Δήμου Αριστοτέλη,473,302,4,0,4,298,93,62,12,1,1,8,107,1,66,31,1,0,25,3,3,0,9,6,11,1,2,6,0,0,17,6,2,0,0,1,5,2,2,0,0,0,3,1,2,0,0,0,0,3,0,2,0,2,0,2,2,0,0,15,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,8,5
9 - Χαλκιδικής,28 E.T. Δήμου Αριστοτέλη,500,319,6,2,8,311,98,59,12,0,7,15,90,2,54,23,0,1,39,0,6,3,24,1,14,1,0,11,0,0,12,7,2,1,1,1,7,2,1,0,2,0,5,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,11,2,4,3,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,4,1,1,0,1,1,2,0,0,0,3,1,2,1,0,0,14,9
9 - Χαλκιδικής,29 E.T. Δήμου Αριστοτέλη,493,313,2,2,4,309,113,81,3,1,2,21,91,3,45,31,1,5,31,1,11,3,14,1,18,2,0,11,1,2,6,2,0,1,0,1,9,4,2,1,1,0,1,1,0,0,0,0,0,2,1,0,0,2,2,3,0,1,0,13,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,4,3,0,0,12,4
9 - Χαλκιδικής,30 E.T. Δήμου Αριστοτέλη,504,341,6,3,9,332,110,78,6,2,1,16,95,1,46,31,0,4,32,4,4,1,21,0,18,1,0,10,0,3,19,6,3,2,0,5,10,3,1,3,0,0,3,0,3,1,0,0,0,4,0,4,0,0,0,4,1,0,1,18,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,4,1,2,1,0,0,2,1,0,0,0,0,3,1,0,0,7,5
9 - Χαλκιδικής,31 E.T. Δήμου Αριστοτέλη,487,308,6,0,6,302,108,82,10,1,0,11,79,0,46,21,1,0,20,0,10,0,7,2,6,0,1,3,0,1,20,12,0,2,0,2,7,3,1,0,1,0,10,5,4,0,0,0,0,4,1,3,0,5,3,1,0,0,0,14,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,1,0,0,0,1,0,3,1,1,1,5,3,3,1,10,8
9 - Χαλκιδικής,32 E.T. Δήμου Αριστοτέλη,450,306,1,1,2,304,107,80,6,2,5,8,89,3,49,25,0,2,21,3,1,0,12,2,11,4,1,2,0,1,11,2,1,1,0,2,11,3,3,0,1,3,11,1,9,0,0,0,0,7,2,5,0,2,1,0,0,0,0,14,0,10,3,0,0,1,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,4,3,1,0,7,6
9 - Χαλκιδικής,33 E.T. Δήμου Αριστοτέλη,492,288,5,3,8,280,98,35,19,4,10,19,44,3,16,17,0,0,33,2,6,0,20,0,19,3,1,10,0,0,25,16,5,0,0,0,9,0,3,2,1,1,2,1,1,0,0,0,0,1,1,0,0,2,0,1,1,0,0,21,8,9,2,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,3,1,0,0,2,1,0,0,9,7
9 - Χαλκιδικής,34 E.T. Δήμου Αριστοτέλη,499,295,5,3,8,287,103,46,21,6,7,7,51,3,23,18,1,0,21,3,4,0,11,1,25,4,1,8,0,5,19,10,1,0,0,4,23,7,4,1,1,3,2,0,1,0,0,0,0,2,1,1,0,0,0,2,1,0,0,13,2,7,3,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,0,3,2,0,0,12,11
9 - Χαλκιδικής,35 E.T. Δήμου Αριστοτέλη,479,308,8,3,11,297,79,37,15,5,9,5,81,2,39,27,2,1,29,0,0,0,20,4,24,5,1,6,1,2,26,9,5,2,1,3,6,0,2,1,2,1,6,1,4,0,0,0,0,2,0,1,0,4,1,2,1,1,0,10,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,2,0,5,0,2,3,0,0,2,2,0,0,1,1,1,1,1,0,11,8
9 - Χαλκιδικής,36 E.T. Δήμου Αριστοτέλη,381,255,11,0,11,244,88,42,21,4,8,4,26,5,4,11,0,0,53,2,4,0,40,1,17,3,0,10,0,1,8,3,0,0,0,1,2,0,0,0,0,0,3,1,2,0,0,0,0,1,0,0,0,4,3,3,2,0,1,13,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,15,15,1,1,0,0,0,0,2,0,3,1,3,2
9 - Χαλκιδικής,37 E.T. Δήμου Αριστοτέλη,378,267,3,3,6,261,119,44,31,9,9,13,37,2,8,17,0,1,32,2,1,0,26,1,26,2,0,10,1,3,6,1,0,2,0,1,5,2,1,0,0,1,3,0,3,1,0,0,0,2,0,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9,7,0,0,0,0,1,0,1,0,2,2,10,4
9 - Χαλκιδικής,38 E.T. Δήμου Αριστοτέλη,428,243,10,2,12,231,99,32,19,4,15,19,41,2,18,10,1,0,31,2,7,2,16,0,8,3,1,0,0,1,10,5,2,0,0,0,9,1,0,1,0,0,0,0,0,1,0,0,0,2,2,0,0,2,2,0,0,0,0,13,2,5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,9,4
9 - Χαλκιδικής,39 E.T. Δήμου Αριστοτέλη,425,278,8,1,9,269,107,24,24,5,13,30,44,5,6,19,2,3,23,0,4,1,13,1,12,5,1,2,0,2,13,4,3,1,0,0,4,0,0,1,1,1,3,1,1,0,0,0,0,0,0,0,0,2,1,3,0,0,2,34,9,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,3,1,0,1,0,0,4,3,3,2,1,0,1,0,3,3,5,3
9 - Χαλκιδικής,40 E.T. Δήμου Αριστοτέλη,500,330,6,3,9,321,143,59,27,6,20,17,43,6,10,12,1,6,28,0,12,0,11,3,29,4,6,12,0,1,14,0,3,1,2,2,10,2,1,0,0,0,8,2,4,1,1,0,0,2,0,2,0,1,0,1,0,0,0,11,4,3,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,4,0,3,0,0,0,5,1,0,1,2,2,2,2,0,0,0,0,5,1,2,0,8,4
9 - Χαλκιδικής,41 E.T. Δήμου Αριστοτέλη,508,264,6,1,7,257,99,39,12,5,14,14,18,0,0,8,1,4,57,3,10,1,32,5,22,2,1,14,0,1,17,4,3,2,0,2,4,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,9,2,1,1,11,5,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,1,1,9,7
9 - Χαλκιδικής,42 E.T. Δήμου Αριστοτέλη,491,276,6,3,9,267,113,57,11,1,21,12,34,5,4,5,1,12,40,1,8,0,25,2,31,3,1,18,1,1,9,5,0,0,0,2,4,2,0,0,1,0,3,1,2,3,2,2,2,0,0,0,0,1,1,1,1,0,0,10,4,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,2,0,1,0,1,1,2,0,0,0,6,3
9 - Χαλκιδικής,43 E.T. Δήμου Αριστοτέλη,528,370,3,1,4,366,139,51,22,8,17,21,33,1,4,15,1,2,64,5,13,6,25,2,56,1,3,42,0,1,19,7,2,4,0,1,18,2,7,2,0,0,3,1,2,0,0,0,0,2,1,0,0,0,0,5,0,0,0,5,1,2,1,0,0,0,0,0,0,0,0,4,2,4,1,2,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,5,3
9 - Χαλκιδικής,44 E.T. Δήμου Αριστοτέλη,527,343,5,1,6,337,140,65,15,2,11,22,30,8,6,11,0,1,57,3,7,1,35,7,49,2,1,41,1,3,17,7,2,0,0,2,9,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,1,10,5,2,1,0,0,0,0,0,0,0,0,1,1,0,0,4,4,0,0,3,1,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,1,0,7,4
9 - Χαλκιδικής,45 E.T. Δήμου Κασσάνδρας,387,253,1,1,2,251,90,37,11,2,7,27,40,4,0,11,14,6,27,14,1,1,6,0,31,3,5,1,0,5,14,8,0,3,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,11,3,7,1,0,0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,1,0,0,1,1,1,3,0,0,3,0,0,1,1,5,4,2,1,2,0,0,0,13,9
9 - Χαλκιδικής,46 E.T. Δήμου Κασσάνδρας,389,250,5,0,5,245,94,48,11,2,6,19,39,5,5,11,3,9,33,12,1,0,15,1,17,1,5,0,0,2,12,5,0,3,0,0,2,1,0,0,1,0,3,1,2,2,0,0,0,2,1,0,0,3,2,3,2,0,0,13,0,5,2,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,1,1,0,1,1,0,0,2,2,1,0,3,0,2,2,8,4
9 - Χαλκιδικής,47 E.T. Δήμου Κασσάνδρας,402,257,6,3,9,248,99,42,15,2,8,27,36,1,1,11,12,7,15,11,1,0,3,0,21,5,4,0,2,2,21,14,1,2,0,0,6,1,0,1,2,0,1,0,1,0,0,0,0,1,0,0,0,4,4,8,0,2,4,12,1,8,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,2,1,6,3,0,0,2,0,0,0,8,6
9 - Χαλκιδικής,48 E.T. Δήμου Κασσάνδρας,398,246,2,0,2,244,140,33,30,3,12,43,24,1,1,7,9,3,20,9,1,1,7,1,5,2,1,0,0,0,9,2,1,3,0,0,6,1,1,1,0,0,1,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,16,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,5,2,2,1,0,0,2,1,1,1,7,5
9 - Χαλκιδικής,49 E.T. Δήμου Κασσάνδρας,403,243,4,1,5,238,113,41,13,5,14,28,40,2,2,9,20,2,36,12,2,0,13,3,4,0,0,0,0,2,18,9,0,4,0,2,6,0,1,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,5,4
9 - Χαλκιδικής,50 E.T. Δήμου Κασσάνδρας,526,259,7,0,7,252,79,21,16,1,7,24,38,6,1,6,17,4,23,7,1,2,11,0,10,4,1,0,0,1,15,5,3,2,0,2,4,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,1,0,0,29,6,13,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,2,0,0,0,1,1,15,1,0,11,1,1,1,0,3,0,0,0,1,1,1,0,20,12
9 - Χαλκιδικής,51 E.T. Δήμου Κασσάνδρας,530,295,13,2,15,280,91,19,16,3,14,26,56,3,4,18,17,5,36,20,1,4,9,0,12,2,0,1,0,2,19,10,1,2,1,1,10,1,2,2,1,0,0,0,0,2,2,0,0,0,0,0,0,2,0,3,0,0,1,12,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,13,1,0,8,0,0,0,0,2,2,1,0,5,3,0,0,11,7
9 - Χαλκιδικής,52 E.T. Δήμου Κασσάνδρας,483,308,8,2,10,298,113,18,27,10,13,28,42,1,2,5,29,0,51,37,1,2,9,0,12,2,3,0,1,2,20,11,1,5,0,0,12,4,0,1,1,0,8,3,3,1,1,0,0,2,0,1,0,4,4,5,2,2,1,9,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,1,0,0,1,2,1,1,1,2,1,0,0,2,2,2,0,6,3
9 - Χαλκιδικής,53 E.T. Δήμου Κασσάνδρας,474,286,1,2,3,283,126,13,33,3,12,48,27,0,0,7,15,2,30,14,0,2,9,0,9,1,2,1,0,1,31,10,5,8,1,3,6,0,0,0,2,0,5,1,4,1,0,0,0,1,0,1,0,0,0,5,3,0,0,14,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,1,0,0,1,1,3,0,0,2,0,0,0,0,2,1,0,0,5,2,1,1,11,8
9 - Χαλκιδικής,54 E.T. Δήμου Κασσάνδρας,486,305,5,2,7,298,125,30,43,1,12,28,46,4,3,8,26,0,49,29,0,1,14,0,4,1,1,0,0,0,18,9,1,6,0,1,2,1,0,0,0,0,6,2,3,1,0,0,0,0,0,0,0,1,1,7,3,2,1,12,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,1,0,3,0,0,3,0,0,2,2,0,0,0,0,3,3,2,2,12,9
9 - Χαλκιδικής,55 E.T. Δήμου Κασσάνδρας,483,299,3,3,6,293,117,20,44,3,11,25,62,4,0,7,40,6,40,28,2,0,9,0,10,6,0,0,0,1,15,7,1,7,0,0,10,4,0,1,1,1,5,1,2,1,1,0,0,0,0,0,0,0,0,5,2,0,2,14,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,2,0,0,0,3,3,0,0,5,3
9 - Χαλκιδικής,56 E.T. Δήμου Κασσάνδρας,482,299,0,3,3,296,132,28,44,1,10,34,37,3,0,7,19,1,56,44,1,0,6,0,7,1,2,1,0,1,16,5,2,3,1,1,6,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,6,2,0,3,1,1,0,0,1,0,1,1,4,4,1,1,8,7
9 - Χαλκιδικής,57 E.T. Δήμου Κασσάνδρας,443,294,6,1,7,287,121,26,30,6,14,26,42,5,0,5,22,1,45,37,2,1,4,1,4,0,0,1,0,0,22,5,0,10,0,1,5,0,0,0,1,0,3,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,1,17,2,10,1,0,0,1,1,0,0,0,0,0,0,0,0,6,1,0,4,1,0,0,0,4,4,2,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,8,5
